,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1602720000000,51.43,59.0,38.206,41.365,231456.425,1602979199999,10168658.87382600,43864,113703.86900000,5011256.85788800,0,2020-10-15
1,1602979200000,41.359,41.425,32.0,32.16,320047.393,1603238399999,11466331.89663300,51543,136519.02100000,4880903.56253600,0,2020-10-18
2,1603238400000,32.186,42.658,32.0,41.681,490646.697,1603497599999,18417930.79166200,78345,255816.45300000,9632441.72845200,0,2020-10-21
3,1603497600000,41.681,42.63,34.855,35.95,272526.85,1603756799999,10598646.40503600,49119,128154.21200000,4991544.05725800,0,2020-10-24
4,1603756800000,35.968,39.001,28.124,29.244,498764.968,1604015999999,16664362.32360000,59885,239107.57600000,8093065.44687800,0,2020-10-27
5,1604016000000,29.178,32.938,27.73,30.757,376813.798,1604275199999,11336385.72210700,44546,182173.32200000,5492254.76830100,0,2020-10-30
6,1604275200000,30.703,34.485,26.065,27.686,345677.684,1604534399999,10280358.31476200,42559,173408.83700000,5176173.06688200,0,2020-11-02
7,1604534400000,27.752,51.9,25.939,44.529,1088250.1,1604793599999,41978631.23116800,151074,566350.22200000,21873632.17806000,0,2020-11-05
8,1604793600000,44.426,70.825,42.606,66.988,1480560.697,1605052799999,83270918.43094200,261332,762748.09600000,43079766.99734800,0,2020-11-08
9,1605052800000,67.066,69.26,50.4,63.456,1791312.961,1605311999999,105262899.42603200,322270,890431.90300000,52482760.15587400,0,2020-11-11
10,1605312000000,63.456,74.5,57.794,72.975,1396735.653,1605571199999,92281371.09175500,239160,705589.64100000,46799387.74924600,0,2020-11-14
11,1605571200000,72.958,81.445,67.02,76.28,1352077.482,1605830399999,100608160.27020900,274537,660613.50100000,49306039.60472500,0,2020-11-17
12,1605830400000,76.381,82.48,62.929,68.811,1090306.159,1606089599999,79850992.21842200,241338,516362.16800000,37887653.33029300,0,2020-11-20
13,1606089600000,68.762,75.5,59.091,61.724,866264.903,1606348799999,59559221.40632100,186672,425183.87000000,29301306.30809000,0,2020-11-23
14,1606348800000,61.658,69.16,50.0,63.944,1194492.568,1606607999999,71893297.32631700,218327,576201.45200000,34957442.22195300,0,2020-11-26
15,1606608000000,63.924,79.939,61.805,74.3,1020370.147,1606867199999,74786595.18284500,203476,513152.89700000,37640850.27144600,0,2020-11-29
16,1606867200000,74.355,94.875,71.601,80.679,1333138.558,1607126399999,114464792.94214800,270253,683828.52400000,58746483.40331000,0,2020-12-02
17,1607126400000,80.803,95.0,79.332,90.688,818405.94,1607385599999,72964024.70305900,160019,416690.79800000,37151609.06704900,0,2020-12-05
18,1607385600000,90.75,91.257,74.634,76.324,1098870.401,1607644799999,90315105.66121000,192636,531702.86100000,43764705.81137700,0,2020-12-08
19,1607644800000,76.532,85.0,70.564,83.929,840123.235,1607903999999,65191882.40883400,139589,410026.36300000,31864223.53456400,0,2020-12-11
