,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1641081600000,266.3,286.4,249.8,252.1,547624.989,1641340799999,145942661.04900000,631602,274088.42100000,73093852.13270000,0,2022-01-02
1,1641340800000,252.0,259.4,199.7,211.7,628195.617,1641599999999,141389762.03900000,547575,307575.36700000,69128595.90460000,0,2022-01-05
2,1641600000000,211.8,231.1,186.7,199.9,576183.851,1641859199999,121196194.04740000,424381,283714.47400000,59715937.78850000,0,2022-01-08
3,1641859200000,199.9,222.6,196.6,209.3,350953.05,1642118399999,74914315.68040000,310002,171454.47000000,36629717.80520000,0,2022-01-11
4,1642118400000,209.4,245.5,204.0,242.5,448928.26,1642377599999,102862839.06440000,472934,232706.96000000,53190763.33530000,0,2022-01-14
5,1642377600000,242.4,244.3,210.0,210.2,520013.712,1642636799999,118413079.86730000,520572,246390.19400000,56195002.72650000,0,2022-01-17
6,1642636800000,210.4,221.4,135.0,146.9,678904.4979,1642895999999,118598062.27706600,471187,324046.37260000,56720572.89036800,0,2022-01-20
7,1642896000000,147.1,163.3,131.1,151.8,559368.4956,1643155199999,82683428.91570000,319594,271289.11500000,40172402.21610000,0,2022-01-23
8,1643155200000,151.8,164.0,137.4,149.0,451215.514,1643414399999,67168016.10010000,293499,236309.87600000,35205985.18020000,0,2022-01-26
9,1643414400000,149.0,158.7,141.6,157.5,220239.942,1643673599999,33446191.21640000,172050,110735.28400000,16826673.70640000,0,2022-01-29
10,1643673600000,157.5,168.3,145.3,153.0,281695.071,1643932799999,44372517.17820000,222113,140944.25500000,22212836.58190000,0,2022-02-01
11,1643932800000,153.0,174.5,151.3,173.5,310546.71,1644191999999,51407899.96880000,320862,164663.46700000,27289540.23460000,0,2022-02-04
12,1644192000000,173.6,192.7,169.8,188.0,363179.197,1644451199999,66023684.55280000,396715,183042.66700000,33277243.92620000,0,2022-02-07
13,1644451200000,188.0,188.9,159.8,162.4,252159.161,1644710399999,44025497.57010000,238822,124313.61000000,21690187.86620000,0,2022-02-10
14,1644710400000,162.5,172.9,152.8,172.2,153837.709,1644969599999,24874725.40900000,147331,77128.97200000,12484146.57160000,0,2022-02-13
15,1644969600000,172.3,174.5,143.9,145.5,321203.661,1645228799999,50792311.44720000,225514,153217.95600000,24262728.18420000,0,2022-02-16
16,1645228800000,145.5,148.8,127.8,128.6,229801.274,1645487999999,31957475.43100000,149954,107245.68300000,14942878.13610000,0,2022-02-19
17,1645488000000,128.6,143.1,112.4,125.4,474195.3777,1645747199999,59777996.06702300,231677,238656.80700000,30075160.42460000,0,2022-02-22
18,1645747200000,125.4,144.8,121.8,131.6,565817.926,1646006399999,76934267.73510000,259956,288192.69400000,39225443.25900000,0,2022-02-25
19,1646006400000,131.6,150.9,128.0,137.7,700400.873,1646265599999,98587936.36140000,323353,342316.16200000,48169209.48510000,0,2022-02-28
20,1646265600000,137.7,137.8,121.9,124.6,509332.222,1646524799999,65622344.50010000,249643,213400.60900000,27520364.35400000,0,2022-03-03
21,1646524800000,124.6,125.7,113.3,121.6,508055.456,1646783999999,60765517.34900000,212029,226573.56600000,27112520.41140000,0,2022-03-06
22,1646784000000,121.7,130.5,114.6,116.6,288039.451,1647043199999,35210074.34320000,140821,139497.65100000,17040337.28350000,0,2022-03-09
23,1647043200000,116.7,121.6,113.4,118.4,252307.216,1647302399999,29848420.12160000,118520,114354.54200000,13542311.06400000,0,2022-03-12
24,1647302400000,118.3,156.9,113.9,155.6,772251.753,1647561599999,106107487.36950000,401641,416779.00400000,57260874.40830000,0,2022-03-15
25,1647561600000,155.6,165.6,146.3,152.6,706613.083,1647820799999,110494329.68690000,413237,342190.31900000,53573612.66180000,0,2022-03-18
