,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1602730800000,51.43,59.0,50.665,51.632,3471.864,1602731099999,186198.04628800,745,1995.55300000,108050.72679500,0,2020-10-15 03:00:00
1,1602731100000,51.641,51.737,49.226,51.3,2921.929,1602731399999,148747.12228300,587,2097.91000000,107166.28029400,0,2020-10-15 03:05:00
2,1602731400000,51.3,51.553,50.963,50.975,694.539,1602731699999,35551.85478000,96,57.97000000,2962.19826500,0,2020-10-15 03:10:00
3,1602731700000,50.803,51.0,50.5,50.5,443.051,1602731999999,22494.24073500,131,252.91000000,12851.72828900,0,2020-10-15 03:15:00
4,1602732000000,50.5,50.502,50.036,50.142,329.271,1602732299999,16547.14530900,63,132.90400000,6668.01897400,0,2020-10-15 03:20:00
5,1602732300000,50.142,50.398,49.294,50.207,777.777,1602732599999,38864.96021600,135,530.97200000,26559.55955800,0,2020-10-15 03:25:00
6,1602732600000,50.207,50.207,48.167,49.271,1438.938,1602732899999,70691.35913900,245,990.28600000,48652.72751600,0,2020-10-15 03:30:00
7,1602732900000,49.172,49.274,48.214,48.644,521.04,1602733199999,25441.15837000,144,205.56500000,10076.35755800,0,2020-10-15 03:35:00
8,1602733200000,48.648,48.785,47.9,48.032,568.884,1602733499999,27628.35471800,94,118.13800000,5745.39295600,0,2020-10-15 03:40:00
9,1602733500000,48.031,48.032,47.25,47.6,367.355,1602733799999,17484.39166300,128,204.00300000,9703.42218300,0,2020-10-15 03:45:00
10,1602733800000,47.543,47.72,47.146,47.68,893.49,1602734099999,42293.12176300,163,645.77500000,30593.24041600,0,2020-10-15 03:50:00
11,1602734100000,47.675,47.675,46.437,47.099,613.888,1602734399999,28836.82625900,164,315.27900000,14818.23663000,0,2020-10-15 03:55:00
12,1602734400000,47.097,47.821,46.531,47.333,625.184,1602734699999,29566.18319500,130,328.29700000,15604.54615400,0,2020-10-15 04:00:00
13,1602734700000,47.333,47.916,46.876,47.153,165.215,1602734999999,7792.89890300,80,84.60900000,4001.93117200,0,2020-10-15 04:05:00
14,1602735000000,47.21,47.495,46.158,47.462,738.217,1602735299999,34669.39330900,229,171.30600000,8048.86727300,0,2020-10-15 04:10:00
15,1602735300000,47.435,47.629,46.803,47.39,342.329,1602735599999,16167.56024200,120,161.12500000,7620.55071700,0,2020-10-15 04:15:00
