,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,109.43,110.57,109.42,110.07,21109.79,1640996099999,2323231.95290000,6601,12138.65000000,1335682.08270000,0,2022-01-01 00:00:00
1,1640996100000,110.09,110.68,109.72,110.66,16810.28,1640996999999,1852288.09490000,6305,10708.72000000,1179906.44660000,0,2022-01-01 00:15:00
2,1640997000000,110.64,111.53,110.36,111.11,25273.18,1640997899999,2804747.07240000,8316,14212.53000000,1578109.24040000,0,2022-01-01 00:30:00
3,1640997900000,111.08,112.0,111.04,111.71,25399.79,1640998799999,2837325.67110000,8971,15735.57000000,1758287.30770000,0,2022-01-01 00:45:00
4,1640998800000,111.7,111.7,110.91,111.42,16824.48,1640999699999,1871649.78100000,3421,9062.43000000,1008347.96450000,0,2022-01-01 01:00:00
5,1640999700000,111.42,111.44,110.65,110.85,14851.84,1641000599999,1649127.85840000,3002,7696.68000000,854629.27100000,0,2022-01-01 01:15:00
6,1641000600000,110.87,111.32,109.88,109.99,21230.11,1641001499999,2347099.40520000,4608,10108.90000000,1118591.96640000,0,2022-01-01 01:30:00
7,1641001500000,109.99,110.26,109.63,109.69,16570.07,1641002399999,1820825.30820000,4224,7998.26000000,878831.53450000,0,2022-01-01 01:45:00
8,1641002400000,109.69,110.52,109.69,110.45,9629.0,1641003299999,1061737.30370000,2646,5648.83000000,622939.30050000,0,2022-01-01 02:00:00
9,1641003300000,110.47,110.91,110.07,110.14,7785.82,1641004199999,860110.55390000,2622,4432.27000000,489554.64960000,0,2022-01-01 02:15:00
10,1641004200000,110.12,110.78,110.04,110.62,9459.44,1641005099999,1045160.63780000,2619,5951.50000000,657651.04980000,0,2022-01-01 02:30:00
11,1641005100000,110.65,111.0,110.27,110.77,11563.47,1641005999999,1280036.35550000,2435,7137.60000000,790170.89410000,0,2022-01-01 02:45:00
12,1641006000000,110.78,110.85,110.38,110.45,11807.57,1641006899999,1305768.96710000,1614,5340.16000000,590376.71480000,0,2022-01-01 03:00:00
13,1641006900000,110.45,110.48,109.47,109.54,21137.79,1641007799999,2323171.60520000,3434,9874.85000000,1085447.87450000,0,2022-01-01 03:15:00
14,1641007800000,109.57,109.78,109.27,109.43,13446.65,1641008699999,1473557.19840000,2361,9817.87000000,1075986.58590000,0,2022-01-01 03:30:00
15,1641008700000,109.43,109.81,108.91,109.72,23604.8,1641009599999,2581633.55050000,5352,14458.96000000,1581425.54560000,0,2022-01-01 03:45:00
16,1641009600000,109.72,110.22,109.01,109.11,14631.11,1641010499999,1606584.14830000,3171,8137.87000000,893623.76140000,0,2022-01-01 04:00:00
17,1641010500000,109.14,109.53,109.06,109.31,7085.18,1641011399999,774486.71830000,1835,3626.29000000,396322.60380000,0,2022-01-01 04:15:00
18,1641011400000,109.31,109.34,108.42,109.06,18855.35,1641012299999,2055195.44620000,4871,9425.79000000,1028102.85800000,0,2022-01-01 04:30:00
19,1641012300000,109.08,109.3,108.88,108.98,6938.49,1641013199999,757297.69830000,1337,2963.72000000,323469.65650000,0,2022-01-01 04:45:00
20,1641013200000,108.99,109.07,108.56,108.92,6500.36,1641014099999,707138.81430000,1405,2751.28000000,299395.68650000,0,2022-01-01 05:00:00
21,1641014100000,108.9,110.62,108.78,110.43,16555.79,1641014999999,1818922.06880000,5540,10099.26000000,1110164.78370000,0,2022-01-01 05:15:00
22,1641015000000,110.42,111.11,110.17,110.32,15879.86,1641015899999,1757920.61220000,3810,8535.08000000,944978.78080000,0,2022-01-01 05:30:00
23,1641015900000,110.28,110.28,109.5,109.84,9298.46,1641016799999,1021907.60360000,2238,5112.82000000,562015.62500000,0,2022-01-01 05:45:00
24,1641016800000,109.84,110.26,109.39,110.21,6703.9,1641017699999,736719.99350000,1961,3359.58000000,369239.77950000,0,2022-01-01 06:00:00
25,1641017700000,110.21,110.25,109.39,109.41,5327.99,1641018599999,584879.71970000,1578,2528.67000000,277646.01150000,0,2022-01-01 06:15:00
26,1641018600000,109.41,109.89,109.4,109.66,6181.28,1641019499999,678141.61330000,1462,3073.19000000,337086.93490000,0,2022-01-01 06:30:00
27,1641019500000,109.66,109.94,109.14,109.39,8174.86,1641020399999,894707.94900000,2352,4192.95000000,458934.84000000,0,2022-01-01 06:45:00
28,1641020400000,109.39,109.62,109.0,109.39,8059.38,1641021299999,880671.29390000,2509,4320.35000000,472077.85920000,0,2022-01-01 07:00:00
29,1641021300000,109.36,110.69,109.34,110.27,14839.62,1641022199999,1633997.55830000,4411,10234.10000000,1126790.91750000,0,2022-01-01 07:15:00
30,1641022200000,110.24,110.68,110.07,110.6,4548.05,1641023099999,501809.57580000,2201,3408.15000000,376031.14730000,0,2022-01-01 07:30:00
31,1641023100000,110.61,110.76,110.26,110.26,14620.7,1641023999999,1616544.61830000,2747,9994.97000000,1104920.14610000,0,2022-01-01 07:45:00
32,1641024000000,110.26,110.44,109.74,110.33,8423.89,1641024899999,927698.38610000,2911,4166.60000000,458891.34550000,0,2022-01-01 08:00:00
33,1641024900000,110.32,110.7,109.94,110.15,6930.18,1641025799999,764618.63230000,3079,4069.34000000,448974.34240000,0,2022-01-01 08:15:00
34,1641025800000,110.11,110.12,109.5,109.72,8354.51,1641026699999,917015.74350000,2796,4018.85000000,441211.01420000,0,2022-01-01 08:30:00
35,1641026700000,109.73,110.08,109.71,109.89,8371.35,1641027599999,920285.36130000,2324,4193.01000000,460939.93820000,0,2022-01-01 08:45:00
36,1641027600000,109.91,110.14,109.6,110.12,5678.74,1641028499999,624053.69750000,1174,3309.39000000,363711.84320000,0,2022-01-01 09:00:00
37,1641028500000,110.11,110.11,109.7,109.73,5337.68,1641029399999,586576.95690000,1030,2599.37000000,285682.74140000,0,2022-01-01 09:15:00
38,1641029400000,109.74,109.74,109.15,109.33,10152.41,1641030299999,1111744.55130000,1994,4518.07000000,494672.81560000,0,2022-01-01 09:30:00
39,1641030300000,109.33,109.92,109.19,109.92,5689.88,1641031199999,623816.01000000,1343,2864.87000000,313993.30810000,0,2022-01-01 09:45:00
40,1641031200000,109.9,110.25,109.78,110.01,7641.5,1641032099999,841063.63050000,2252,3980.47000000,438180.82840000,0,2022-01-01 10:00:00
41,1641032100000,110.01,110.02,109.34,109.44,9323.2,1641032999999,1021947.02940000,2717,3422.81000000,375272.78230000,0,2022-01-01 10:15:00
42,1641033000000,109.45,109.76,108.8,109.61,15880.17,1641033899999,1734913.58840000,4649,7639.22000000,834828.49770000,0,2022-01-01 10:30:00
