,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1600756200000,0.85,6.0,0.85,4.8811,3198372.67,1600757999999,15277611.22403900,29704,1629236.53000000,7827117.22893500,0,2020-09-22 06:30:00
1,1600758000000,4.88,5.35,4.245,4.9312,1914636.29,1600759799999,9106968.93208600,21459,960488.14000000,4587088.56912000,0,2020-09-22 07:00:00
2,1600759800000,4.9141,5.1999,4.5662,4.9096,1256377.31,1600761599999,6202243.49240900,14404,692153.10000000,3420048.43900700,0,2020-09-22 07:30:00
3,1600761600000,4.9096,5.4499,4.82,5.3951,1100528.85,1600763399999,5758264.02579700,12105,684460.83000000,3586066.20215700,0,2020-09-22 08:00:00
4,1600763400000,5.3917,6.9289,5.3373,6.8219,2783452.58,1600765199999,17595777.48655800,31641,1508594.92000000,9508341.71169400,0,2020-09-22 08:30:00
5,1600765200000,6.8299,7.0,5.55,6.4488,2538823.74,1600766999999,16185252.66787000,26573,1306556.37000000,8366883.93122800,0,2020-09-22 09:00:00
6,1600767000000,6.4496,6.521,6.0503,6.2108,1143009.15,1600768799999,7182251.80482500,11297,573413.66000000,3604347.78555900,0,2020-09-22 09:30:00
7,1600768800000,6.2109,6.3,5.2273,5.4126,1500130.79,1600770599999,8451837.96690800,18217,711150.35000000,4014645.94146800,0,2020-09-22 10:00:00
8,1600770600000,5.4199,5.528,4.975,5.4901,1228985.39,1600772399999,6454768.49906400,15562,650343.25000000,3420868.85743800,0,2020-09-22 10:30:00
9,1600772400000,5.485,6.123,5.2311,6.0362,1136241.95,1600774199999,6387151.74048500,15323,600185.41000000,3379276.29523000,0,2020-09-22 11:00:00
10,1600774200000,6.0356,6.1657,5.6163,5.7679,775212.08,1600775999999,4547685.12494600,12292,366470.75000000,2149080.92108900,0,2020-09-22 11:30:00
11,1600776000000,5.7679,5.876,5.4428,5.5934,632579.2,1600777799999,3553229.13958300,10365,288221.34000000,1616697.28364600,0,2020-09-22 12:00:00
12,1600777800000,5.5934,6.15,5.5499,5.8565,766464.6,1600779599999,4519223.32026400,11020,392330.97000000,2314513.36957600,0,2020-09-22 12:30:00
13,1600779600000,5.8565,5.98,5.62,5.9431,549860.96,1600781399999,3202433.17320400,8425,254411.15000000,1481922.86681600,0,2020-09-22 13:00:00
14,1600781400000,5.94,5.9467,5.3363,5.5112,550144.0,1600783199999,3068144.74381600,8351,234601.52000000,1306909.87069300,0,2020-09-22 13:30:00
15,1600783200000,5.5001,5.5895,5.1197,5.2209,664059.24,1600784999999,3542754.48174700,9727,290153.23000000,1552623.60280600,0,2020-09-22 14:00:00
16,1600785000000,5.2238,5.3137,5.04,5.157,531316.76,1600786799999,2741554.75917100,8421,245250.76000000,1267331.11998300,0,2020-09-22 14:30:00
17,1600786800000,5.1522,5.1568,4.5146,4.5697,1208219.07,1600788599999,5760028.08025800,15598,555202.97000000,2645325.42928000,0,2020-09-22 15:00:00
18,1600788600000,4.5746,4.68,4.311,4.6699,1109939.22,1600790399999,4982139.35574600,12369,542944.11000000,2439883.13534500,0,2020-09-22 15:30:00
19,1600790400000,4.6691,4.7825,4.338,4.6992,720147.71,1600792199999,3268187.35394000,8319,363259.02000000,1649602.42876900,0,2020-09-22 16:00:00
20,1600792200000,4.6992,4.8893,4.5597,4.8848,570576.47,1600793999999,2712819.52907200,6044,277269.18000000,1318205.31138800,0,2020-09-22 16:30:00
21,1600794000000,4.8848,4.8902,4.55,4.7457,450530.68,1600795799999,2115392.99482300,6479,203712.63000000,956704.29341900,0,2020-09-22 17:00:00
22,1600795800000,4.7457,4.7494,4.3823,4.4101,354193.1,1600797599999,1621163.41107700,4489,160333.24000000,735198.05261500,0,2020-09-22 17:30:00
23,1600797600000,4.4015,4.4616,4.0266,4.3399,640824.03,1600799399999,2728879.30446900,7203,286334.25000000,1226766.70937500,0,2020-09-22 18:00:00
24,1600799400000,4.34,4.3939,4.1015,4.1532,323665.97,1600801199999,1377664.46346400,4440,136649.14000000,582807.63345700,0,2020-09-22 18:30:00
25,1600801200000,4.159,4.4823,4.15,4.3326,377380.0,1600802999999,1648704.39440200,5385,215164.64000000,939998.50060000,0,2020-09-22 19:00:00
26,1600803000000,4.3298,4.5538,4.3229,4.48,302665.89,1600804799999,1344519.58614000,3996,175670.91000000,780574.44748500,0,2020-09-22 19:30:00
27,1600804800000,4.4854,4.4994,4.3518,4.399,152063.55,1600806599999,673034.65225400,1903,63540.21000000,280975.45649600,0,2020-09-22 20:00:00
28,1600806600000,4.3977,4.4744,4.2354,4.3316,144501.97,1600808399999,630550.72787600,2132,69273.21000000,303010.13907000,0,2020-09-22 20:30:00
29,1600808400000,4.3294,4.6865,4.3262,4.6058,220117.31,1600810199999,986712.99826900,2873,132358.94000000,593329.40606100,0,2020-09-22 21:00:00
30,1600810200000,4.609,4.9109,4.6,4.82,617750.13,1600811999999,2932785.46472600,6166,307973.42000000,1464192.64677500,0,2020-09-22 21:30:00
31,1600812000000,4.8202,4.85,4.56,4.7843,313787.99,1600813799999,1469579.04995300,3647,170205.97000000,796006.87915100,0,2020-09-22 22:00:00
32,1600813800000,4.7961,5.3815,4.729,5.3149,717735.08,1600815599999,3662410.51136600,8050,383835.69000000,1960740.42879000,0,2020-09-22 22:30:00
33,1600815600000,5.2957,5.5499,5.0992,5.2699,605683.45,1600817399999,3242246.35732700,7733,273576.50000000,1467909.78210100,0,2020-09-22 23:00:00
34,1600817400000,5.2815,5.3748,5.04,5.3193,341905.98,1600819199999,1781344.60587600,4172,162482.39000000,846806.91342500,0,2020-09-22 23:30:00
35,1600819200000,5.3279,5.36,5.056,5.1733,194878.6,1600820999999,1017795.37276400,2816,105431.11000000,551732.72002000,0,2020-09-23 00:00:00
36,1600821000000,5.1846,5.2269,4.92,4.9536,188720.68,1600822799999,951460.31906600,2873,87325.73000000,440542.37378500,0,2020-09-23 00:30:00
37,1600822800000,4.9582,5.0915,4.65,4.6999,220633.08,1600824599999,1080965.83043700,2957,90407.09000000,445903.52084100,0,2020-09-23 01:00:00
38,1600824600000,4.6933,4.7842,4.6,4.7674,196389.52,1600826399999,919694.24166800,2364,87375.59000000,409464.22984700,0,2020-09-23 01:30:00
39,1600826400000,4.7677,4.92,4.6799,4.8191,214721.63,1600828199999,1031941.90658500,3042,109323.81000000,525552.84542200,0,2020-09-23 02:00:00
40,1600828200000,4.8151,5.0297,4.6,5.0025,222721.64,1600829999999,1066033.35014000,2736,102581.83000000,493098.24502800,0,2020-09-23 02:30:00
