,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1600732800000,0.85,7.0,0.85,4.6411,51170335.03,1600991999999,248783069.61180000,649026,25326089.00000000,123745968.61156300,0,2020-09-22
1,1600992000000,4.6366,5.0234,4.1068,4.6484,7201164.24,1601251199999,32841117.28520500,138264,3612872.68000000,16501817.83205300,0,2020-09-25
2,1601251200000,4.6485,4.705,3.9607,4.3293,3183843.22,1601510399999,13482786.31570200,56629,1589916.42000000,6733160.30948300,0,2020-09-28
3,1601510400000,4.3293,4.53,3.6332,4.0168,4004701.23,1601769599999,16152555.31658000,51778,1940265.77000000,7823557.33657900,0,2020-10-01
4,1601769600000,4.0202,4.0798,3.5,3.5424,2077918.6,1602028799999,7921120.39202700,34192,990144.74000000,3789057.90866700,0,2020-10-04
5,1602028800000,3.5401,4.3252,3.207,4.2491,2462702.52,1602287999999,8969065.10706200,38683,1234665.28000000,4502778.92801100,0,2020-10-07
6,1602288000000,4.2427,4.71,3.9333,4.41,2215563.99,1602547199999,9328077.90550000,32866,1096612.77000000,4626504.32690200,0,2020-10-10
7,1602547200000,4.4099,4.5636,3.9985,4.1269,1595842.65,1602806399999,6890023.14124700,26971,771329.39000000,3336677.49920600,0,2020-10-13
8,1602806400000,4.1266,4.2461,3.8755,4.1195,934986.33,1603065599999,3794779.27431300,18605,421322.90000000,1710885.25892000,0,2020-10-16
9,1603065600000,4.1371,4.1748,3.6925,3.9585,1183819.57,1603324799999,4659494.01277900,25119,559848.17000000,2201146.39935000,0,2020-10-19
10,1603324800000,3.9574,4.4904,3.9511,4.1821,1284994.2,1603583999999,5554335.55383500,26060,619707.18000000,2679229.65171100,0,2020-10-22
11,1603584000000,4.1803,4.4897,4.0141,4.1217,1163573.44,1603843199999,4897588.63784200,21559,552862.91000000,2331522.84308000,0,2020-10-25
12,1603843200000,4.1214,4.1792,3.5781,3.7224,1631829.91,1604102399999,6220881.75095700,30334,828009.02000000,3150640.80467100,0,2020-10-28
13,1604102400000,3.7116,3.8775,3.5521,3.617,964187.4,1604361599999,3541234.26261500,14956,426510.76000000,1568064.62497500,0,2020-10-31
14,1604361600000,3.6174,3.6513,3.0,3.3348,1775794.46,1604620799999,5828824.30655600,29317,779979.26000000,2551453.79257700,0,2020-11-03
15,1604620800000,3.335,3.9193,3.3194,3.4754,2285697.71,1604879999999,8137326.97521200,39477,1100715.12000000,3924178.86017100,0,2020-11-06
16,1604880000000,3.4674,3.82,3.2619,3.4842,1407010.18,1605139199999,4932786.33924500,29832,687390.01000000,2413540.20514500,0,2020-11-09
17,1605139200000,3.4918,3.7042,3.32,3.4894,1342770.22,1605398399999,4700715.11127900,31258,659302.10000000,2315815.66868200,0,2020-11-12
18,1605398400000,3.484,3.9333,3.4101,3.8355,1587189.85,1605657599999,5846600.91163500,39276,793045.52000000,2922693.94969000,0,2020-11-15
19,1605657600000,3.8476,4.0111,3.55,3.715,1575251.78,1605916799999,5892240.62516300,43831,750934.52000000,2812814.70506600,0,2020-11-18
20,1605916800000,3.7124,4.2575,3.67,4.0747,1731516.52,1606175999999,6857437.32459000,48909,881221.29000000,3494976.71707400,0,2020-11-21
21,1606176000000,4.0748,4.3989,3.28,3.5447,2630786.32,1606435199999,10331571.33698900,67257,1305812.49000000,5155862.08804700,0,2020-11-24
22,1606435200000,3.5399,3.7662,3.4178,3.7013,861439.97,1606694399999,3103870.68037400,24516,446959.27000000,1611762.56009500,0,2020-11-27
23,1606694400000,3.7124,3.8458,3.4501,3.74,975116.6,1606953599999,3597932.17076500,28448,468985.86000000,1732697.22382100,0,2020-11-30
24,1606953600000,3.7384,3.8966,3.5059,3.6382,700870.51,1607212799999,2597284.32537200,22771,336876.85000000,1250857.32501300,0,2020-12-03
25,1607212800000,3.6384,3.6733,3.085,3.1172,1466511.3,1607471999999,4859241.47327200,45374,622680.31000000,2066455.24203000,0,2020-12-06
26,1607472000000,3.1185,3.4411,2.8001,3.2375,3353967.33,1607731199999,10598148.23995900,89000,1675048.41000000,5298793.58859000,0,2020-12-09
27,1607731200000,3.232,3.45,3.1357,3.1433,2335148.65,1607990399999,7722885.17102400,58130,1078347.29000000,3565107.35236700,0,2020-12-12
28,1607990400000,3.1439,3.5441,3.06,3.2079,2194536.69,1608249599999,7133991.08647800,45549,1134667.47000000,3691084.14053100,0,2020-12-15
29,1608249600000,3.2068,3.6076,3.1424,3.304,1564900.07,1608508799999,5333021.48296100,37087,736406.36000000,2516127.75241800,0,2020-12-18
30,1608508800000,3.3041,3.6937,2.7501,2.9465,4190517.94,1608767999999,13366203.20366400,73329,2134350.39000000,6851852.78229600,0,2020-12-21
31,1608768000000,2.9525,3.1301,2.7679,2.9178,2257139.82,1609027199999,6691220.76832700,41016,1212322.02000000,3597484.42083100,0,2020-12-24
32,1609027200000,2.9223,3.0759,2.8322,2.9248,2330754.62,1609286399999,6842377.14361000,42865,1155295.57000000,3393199.72910100,0,2020-12-27
