,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,46216.93,46527.26,46208.37,46375.42,706.65682,1640996999999,32751194.63094230,19674,388.44942000,18000363.92144700,0,2022-01-01 00:00:00
1,1640997000000,46375.42,46731.39,46360.19,46656.13,796.67413,1640998799999,37128791.75955700,18934,417.61594000,19461792.99619700,0,2022-01-01 00:30:00
2,1640998800000,46656.14,46949.99,46574.06,46815.33,589.50801,1641000599999,27549979.41540700,18930,332.64016000,15543899.15895910,0,2022-01-01 01:00:00
3,1641000600000,46815.34,46884.63,46711.9,46778.14,354.30738,1641002399999,16577168.70219520,12942,158.54051000,7419373.69641510,0,2022-01-01 01:30:00
4,1641002400000,46778.14,46928.94,46769.95,46826.01,273.51826,1641004199999,12816103.45351010,13394,116.69914000,5467495.50778260,0,2022-01-01 02:00:00
5,1641004200000,46826.0,46860.39,46721.96,46811.77,211.65034,1641005999999,9904566.96569000,10970,89.65199000,4195111.55811310,0,2022-01-01 02:30:00
6,1641006000000,46811.77,46916.63,46760.12,46809.15,296.91734,1641007799999,13904885.59207130,10254,142.72443000,6684139.55307220,0,2022-01-01 03:00:00
7,1641007800000,46809.16,46900.0,46809.15,46813.2,265.97237,1641009599999,12458374.87129160,9628,105.55769000,4945236.84388810,0,2022-01-01 03:30:00
8,1641009600000,46813.21,46887.33,46591.23,46708.14,464.38757,1641011399999,21697339.77340820,13188,191.66500000,8953509.44937720,0,2022-01-01 04:00:00
9,1641011400000,46708.13,46842.98,46639.18,46711.05,397.49632,1641013199999,18574703.96497940,10169,205.87063000,9621892.80973290,0,2022-01-01 04:30:00
10,1641013200000,46711.05,47500.0,46673.94,47379.13,793.08192,1641014999999,37410490.52076520,23184,471.58605000,22241417.34377930,0,2022-01-01 05:00:00
11,1641015000000,47379.13,47555.55,47135.3,47192.55,607.6545,1641016799999,28777815.43546180,18247,305.20027000,14453904.34548740,0,2022-01-01 05:30:00
12,1641016800000,47192.56,47324.42,47089.43,47130.36,267.90481,1641018599999,12643526.27841370,12335,128.80610000,6079194.27073010,0,2022-01-01 06:00:00
13,1641018600000,47130.37,47235.49,46940.0,46979.62,346.07295,1641020399999,16297965.28722600,12861,170.63487000,8036875.11280960,0,2022-01-01 06:30:00
14,1641020400000,46979.61,47052.98,46864.84,46959.61,295.2575,1641022199999,13869373.31185140,11933,129.45803000,6081626.67264500,0,2022-01-01 07:00:00
15,1641022200000,46959.61,47255.85,46945.77,47194.73,350.94331,1641023999999,16530492.32074730,13233,161.22568000,7594658.91560570,0,2022-01-01 07:30:00
16,1641024000000,47194.73,47344.69,47075.11,47305.23,315.89791,1641025799999,14912556.38448180,13915,168.85277000,7971329.21607740,0,2022-01-01 08:00:00
17,1641025800000,47305.23,47313.91,47081.74,47124.82,216.54976,1641027599999,10219702.53341260,10497,108.24172000,5108709.63075010,0,2022-01-01 08:30:00
18,1641027600000,47124.82,47215.56,47062.77,47094.74,212.89514,1641029399999,10036932.78415020,11742,103.68918000,4888349.69456450,0,2022-01-01 09:00:00
19,1641029400000,47094.74,47143.99,46933.58,47143.98,328.42977,1641031199999,15443581.60024330,13623,150.95513000,7098611.82972600,0,2022-01-01 09:30:00
20,1641031200000,47143.98,47298.75,46812.99,46874.25,413.90789,1641032999999,19467766.49218680,15770,184.26617000,8668375.00261660,0,2022-01-01 10:00:00
21,1641033000000,46874.26,47081.02,46715.39,46871.08,509.10971,1641034799999,23854862.73552430,16770,264.11148000,12375198.65813330,0,2022-01-01 10:30:00
22,1641034800000,46871.09,47007.73,46862.41,46956.77,335.66439,1641036599999,15752205.97761930,13765,155.87911000,7316024.38459110,0,2022-01-01 11:00:00
23,1641036600000,46956.78,46994.24,46756.77,46758.87,397.22354,1641038399999,18620826.70481620,13316,175.57776000,8230244.94236420,0,2022-01-01 11:30:00
