,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1641081600000,47722.66,47990.0,45500.0,45832.01,81493.9511,1641340799999,3807984928.01662650,2617063,40380.49807000,1886787285.47703410,0,2022-01-02
1,1641340800000,45832.01,47070.0,40610.0,41566.48,145500.9998,1641599999999,6302605714.54901790,4035874,69341.21383000,3002913988.42200790,0,2022-01-05
2,1641600000000,41566.48,42786.7,39650.0,41822.49,106406.29556,1641859199999,4408174898.84594800,3025624,52516.87537000,2177137939.10145200,0,2022-01-08
3,1641859200000,41822.49,44500.0,41268.93,42560.11,106150.60771,1642118399999,4561654572.16764490,3075662,53281.67863000,2290457125.16077190,0,2022-01-11
4,1642118400000,42558.35,43800.0,41725.95,43071.66,75179.29179,1642377599999,3225691840.95176230,2431797,36619.56851000,1571888813.10207970,0,2022-01-14
5,1642377600000,43071.66,43176.18,41138.56,41660.01,88571.89029,1642636799999,3725319831.02651910,2747618,43580.10867000,1833077032.26246110,0,2022-01-17
6,1642636800000,41660.0,43505.0,34008.0,35071.42,221662.57049,1642895999999,8397833951.65707532,5291300,104538.84396200,3962488769.29921209,0,2022-01-20
7,1642896000000,35071.42,37550.0,32917.17,36958.32,185416.678581,1643155199999,6563680439.64580654,4390005,94299.09620800,3340590343.48248916,0,2022-01-23
8,1643155200000,36958.32,38919.98,35507.01,37716.56,165005.30926,1643414399999,6113616036.25464580,3953977,83487.73687000,3094138738.24632180,0,2022-01-26
9,1643414400000,37716.57,38744.0,36632.61,38466.9,84415.40789,1643673599999,3189157132.62722590,2451208,42513.07570000,1606605245.00804930,0,2022-01-29
10,1643673600000,38466.9,39265.2,36250.0,37311.61,102450.23792,1643932799999,3866862954.34422660,2674483,51450.53224000,1942510172.46094220,0,2022-02-01
11,1643932800000,37311.98,42656.0,37026.73,42380.87,119641.4695,1644191999999,4810546880.86843680,3175367,61166.14358000,2460958810.75625150,0,2022-02-04
12,1644192000000,42380.87,45492.0,41645.85,44372.72,150369.08122,1644451199999,6564509720.54422940,4193019,75577.49431000,3300326293.91749090,0,2022-02-07
13,1644451200000,44372.71,45821.0,41688.88,42217.87,133889.31642,1644710399999,5833191146.45246080,3541159,65201.49482000,2841847465.32655680,0,2022-02-10
14,1644710400000,42217.87,44751.4,41550.56,44544.86,89837.40749,1644969599999,3860317076.72320170,2483214,44426.22408000,1909703638.43855000,0,2022-02-13
15,1644969600000,44544.85,44549.97,39450.0,39974.44,119563.79005,1645228799999,5009996031.20266820,2917285,56184.36903000,2355764755.21239810,0,2022-02-16
16,1645228800000,39974.45,40444.32,36800.0,37008.16,113829.03017,1645487999999,4397204558.37830950,2750178,54330.36450000,2098379326.35683860,0,2022-02-19
17,1645488000000,37008.16,39843.0,34322.28,38327.21,217822.97247,1645747199999,8011222310.00434280,4866179,108875.82295000,4006964938.68324530,0,2022-02-22
18,1645747200000,38328.68,40348.45,37000.0,37699.07,132165.27524,1646006399999,5131024002.86345110,3598568,66352.20265000,2577430586.13979980,0,2022-02-25
19,1646006400000,37699.08,45400.0,37450.17,43892.98,193471.38812,1646265599999,8227564198.15192930,5451089,98105.43473000,4170829479.05755880,0,2022-02-28
20,1646265600000,43892.99,44101.12,38407.59,39397.96,143268.4286,1646524799999,5906843303.73265050,3634113,68607.63870000,2829231518.44998000,0,2022-03-03
21,1646524800000,39397.97,39693.87,37155.0,38730.63,159254.44355,1646783999999,6141272886.13510290,3713521,78660.73463000,3033361215.25778570,0,2022-03-06
22,1646784000000,38730.63,42594.06,38223.6,38729.57,198374.28373,1647043199999,7957376597.36950580,4335456,97550.64254000,3914639090.34105230,0,2022-03-09
23,1647043200000,38729.57,39947.12,37555.0,39671.37,103771.64166,1647302399999,4030027580.94888340,2628476,51167.03155000,1987833209.83584310,0,2022-03-12
24,1647302400000,39671.37,41718.0,38098.33,40917.9,171325.6918,1647561599999,6870218940.53489770,4048138,85358.54271000,3424628996.10763300,0,2022-03-15
25,1647561600000,40917.89,42400.0,40135.04,41262.11,105128.52545,1647820799999,4352926895.17777610,2665946,51474.71567000,2131924520.72313070,0,2022-03-18
26,1647820800000,41262.11,43361.0,40467.94,42882.76,139710.0621,1648079999999,5870552226.45201760,3231220,69506.31553000,2921180767.97869230,0,2022-03-21
27,1648080000000,42882.76,45094.14,42560.46,44511.27,133851.17763,1648339199999,5880214268.89216040,3037776,67205.03975000,2952910090.71313700,0,2022-03-24
28,1648339200000,44511.27,48189.84,44421.46,47434.8,137596.45668,1648598399999,6445518450.41096120,3729749,68964.97781000,3229701244.79466630,0,2022-03-27
29,1648598400000,47434.79,47700.22,44200.0,46283.49,145863.39991,1648857599999,6751170611.32200740,3744364,71817.28348000,3324585541.05142630,0,2022-03-30
30,1648857600000,46283.49,47444.11,45118.0,46580.51,115110.0889,1649116799999,5326124971.35873730,3195277,57216.15300000,2647978062.43342850,0,2022-04-02
31,1649116800000,46580.5,47200.0,42727.35,43444.19,140438.61944,1649375999999,6276192380.47993290,3517808,68642.12115000,3067578488.87022000,0,2022-04-05
32,1649376000000,43444.2,43970.62,41868.0,42158.85,83037.79653,1649635199999,3561434295.72602970,2427349,40393.28485000,1732793652.22047570,0,2022-04-08
33,1649635200000,42158.85,42414.71,39200.0,41147.79,162653.73753,1649894399999,6588724598.69999660,3487652,79410.60048000,3218025620.66721240,0,2022-04-11
34,1649894400000,41147.78,41500.0,39551.94,40378.71,76638.81858,1650153599999,3099890226.74836960,1843738,37185.74811000,1503959392.21240270,0,2022-04-14
35,1650153600000,40378.7,41760.0,38536.51,41493.18,110020.84677,1650412799999,4429352490.25901990,2682508,54482.92414000,2194177120.06200910,0,2022-04-17
36,1650412800000,41493.19,42976.0,39177.0,39709.18,146857.64658,1650671999999,6043273064.37480830,3622770,72669.90413000,2990839390.13421410,0,2022-04-20
37,1650672000000,39709.19,40616.0,38200.0,40426.08,110032.16345,1650931199999,4331084271.16790050,2872666,54815.30270000,2158108526.62449940,0,2022-04-23
38,1650931200000,40426.08,40797.31,37702.26,39742.07,179820.05222,1651190399999,7057538890.06767600,3748943,89398.49764000,3509299768.93855710,0,2022-04-26
39,1651190400000,39742.06,39925.25,37386.38,38468.35,125587.08808,1651449599999,4839295466.90338360,3139666,60848.15307000,2345028073.49783910,0,2022-04-29
40,1651449600000,38468.35,40023.77,37517.8,39690.0,156091.99722,1651708799999,6036325140.01459040,3297871,80247.22846000,3103927870.41057020,0,2022-05-02
41,1651708800000,39690.0,39845.51,34785.0,35472.39,191441.94224,1651967999999,7018731161.78607900,3940698,91708.05271000,3362871918.65843560,0,2022-05-05
42,1651968000000,35472.4,35514.22,29730.4,31017.1,429854.572978,1652227199999,13844589200.75023496,6336314,192580.19802500,6203778646.92901706,0,2022-05-08
43,1652227200000,31017.11,32162.59,26700.0,29287.05,509443.371986,1652486399999,15052603110.35482925,9562403,249915.12337200,7389399576.27318679,0,2022-05-11
44,1652486400000,29287.05,31460.0,28630.0,29874.01,170453.74433,1652745599999,5088551115.41337030,3783349,86355.58714000,2579058140.52184190,0,2022-05-14
45,1652745600000,29874.01,30788.37,28654.47,30319.23,184350.65521,1653004799999,5492313102.99241620,4415374,93441.78794000,2784818386.64952290,0,2022-05-17
46,1653004800000,30319.22,30777.33,28730.0,30293.94,117663.37197,1653263999999,3499314509.26633900,3200370,59987.43084000,1784558041.21812700,0,2022-05-20
47,1653264000000,30293.93,30670.51,28669.0,29542.15,182881.84627,1653523199999,5426271595.45317990,3260178,88803.71074000,2635918000.97008440,0,2022-05-23
48,1653523200000,29542.14,29886.64,28019.56,29031.33,220059.526,1653782399999,6380245626.46916480,3436941,106358.12279000,3084972166.10114270,0,2022-05-26
49,1653782400000,29031.33,32399.0,28839.21,31801.04,186786.41156,1654041599999,5766564232.12880240,3177061,88806.83725000,2739571981.85860750,0,2022-05-29
50,1654041600000,31801.05,31982.97,29282.36,29700.21,214424.51037,1654300799999,6498460885.15601280,3484563,102753.12953000,3113315540.44315740,0,2022-06-01
51,1654300800000,29700.21,31765.64,29485.0,31373.1,117594.75379,1654559999999,3601575754.56127900,2347462,58950.77676000,1804890665.68916140,0,2022-06-04
52,1654560000000,31373.1,31589.6,29218.96,30109.93,225508.31584,1654819199999,6834507454.85213740,3821846,110582.23370000,3354276497.52124820,0,2022-06-07
53,1654819200000,30109.93,30382.8,26560.0,26574.53,234580.247559,1655078399999,6699640618.90007204,3794042,110889.32693000,3166632004.56883060,0,2022-06-10
54,1655078400000,26574.53,26895.84,20111.62,22583.72,642587.175143,1655337599999,14577631217.68699820,8692466,312503.40121400,7088106369.34370775,0,2022-06-13
55,1655337600000,22583.72,22995.73,17622.0,18970.79,382809.586444,1655596799999,7653252374.30948226,5510841,187675.85146900,3753404098.36591390,0,2022-06-16
56,1655596800000,18970.79,21723.0,17960.41,20723.52,341720.89239,1655855999999,6906554300.62192320,5105429,172112.98258000,3478283211.03133580,0,2022-06-19
57,1655856000000,20723.51,21558.41,19770.51,21237.69,252691.43276,1656115199999,5218028646.86507750,3912548,126206.51136000,2606982159.33379790,0,2022-06-22
58,1656115200000,21237.68,21888.0,20510.0,20742.56,169184.78388,1656374399999,3587500730.97813180,2762060,83283.80554000,1766247325.99546810,0,2022-06-25
59,1656374400000,20742.57,21212.1,18626.0,19942.21,234956.77505,1656633599999,4687407136.97191660,3713296,113752.89173000,2269346115.50008070,0,2022-06-28
60,1656633600000,19942.21,20918.35,18781.0,19315.83,209112.36335,1656892799999,4065687798.23785050,3382657,105473.48854000,2051096602.76990080,0,2022-07-01
61,1656892800000,19315.83,20750.0,19055.31,20564.51,253294.76437,1657151999999,5056419753.69864420,4367337,128482.93381000,2565501905.01518220,0,2022-07-04
62,1657152000000,20564.51,22527.37,20251.68,21591.83,666514.00078,1657411199999,14421744765.83038300,9536324,333947.65675000,7226381276.54709100,0,2022-07-07
63,1657411200000,21592.15,21607.65,19240.0,19328.75,469230.08142,1657670399999,9630727780.71385480,10293741,229927.34028000,4720919417.05969150,0,2022-07-10
64,1657670400000,19331.28,21200.0,18910.94,20830.04,527402.77074,1657929599999,10606855896.44024950,13776839,263015.14222000,5291234405.01560650,0,2022-07-13
65,1657929600000,20830.04,22777.63,20478.61,22432.58,479183.85775,1658188799999,10314265126.91438970,14548845,243174.73417000,5235415838.71319240,0,2022-07-16
66,1658188800000,22432.58,24276.74,21579.54,23152.19,687350.61859,1658447999999,15818632812.83732820,17660607,345653.78157000,7955291067.13324340,0,2022-07-19
67,1658448000000,23152.19,23756.49,21934.57,22579.68,408925.88618,1658707199999,9337475394.06977830,12179047,204683.82676000,4673760116.61141240,0,2022-07-22
68,1658707200000,22577.13,23112.63,20706.5,22952.45,569133.20765,1658966399999,12307687454.60075540,14828361,281894.53343000,6097638060.41336380,0,2022-07-25
69,1658966400000,22954.31,23460.58,22582.13,23137.17,136989.20708,1659225599999,3152510049.57766130,3950269,68308.32832000,1572099200.86550640,0,2022-07-28
