,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,46216.93,46949.99,46208.37,46813.2,3495.20465,1641009599999,163091065.39066450,114726,1751.87928000,81717413.23587420,0,2022-01-01 00:00:00
1,1641009600000,46813.21,47555.55,46591.23,47194.73,3522.79888,1641023999999,165801706.89285300,115150,1764.44663000,83063078.92016720,0,2022-01-01 04:00:00
2,1641024000000,47194.73,47344.69,46715.39,46758.87,2729.67811,1641038399999,128308435.21243450,109398,1311.57332000,61656843.35882320,0,2022-01-01 08:00:00
3,1641038400000,46758.87,47491.14,46756.3,47219.04,3055.90946,1641052799999,143990904.71209970,109116,1551.05367000,73095542.26686220,0,2022-01-01 12:00:00
4,1641052800000,47219.04,47954.63,47186.07,47329.78,4061.67681,1641067199999,193002811.55339300,154496,2050.68014000,97434848.95431000,0,2022-01-01 16:00:00
5,1641067200000,47329.79,47814.0,47222.22,47722.65,2739.19534,1641081599999,129960235.82204180,112013,1512.73375000,71770985.05406970,0,2022-01-01 20:00:00
6,1641081600000,47722.66,47750.0,47269.47,47329.47,2387.90724,1641095999999,113376284.24161990,101813,1176.65983000,55871764.98385210,0,2022-01-02 00:00:00
7,1641096000000,47329.47,47415.73,46770.23,47173.45,3018.46827,1641110399999,142113693.84282810,100758,1504.17008000,70820619.21620910,0,2022-01-02 04:00:00
8,1641110400000,47173.44,47499.45,46970.05,47235.5,2119.84865,1641124799999,100173866.54134780,101881,1050.27359000,49636995.04698470,0,2022-01-02 08:00:00
9,1641124800000,47238.89,47447.0,47013.5,47340.47,2780.32874,1641139199999,131207447.46749790,125248,1401.01766000,66115491.81948880,0,2022-01-02 12:00:00
10,1641139200000,47340.47,47990.0,46654.0,46907.68,5597.88593,1641153599999,264826589.69993650,181970,2788.09030000,131934820.65803090,0,2022-01-02 16:00:00
11,1641153600000,46907.67,47469.34,46815.17,47286.18,2436.02157,1641167999999,114913113.77012800,97954,1246.25808000,58802700.55738100,0,2022-01-02 20:00:00
12,1641168000000,47286.18,47289.11,46722.39,46793.26,2994.31942,1641182399999,140749529.97998750,109984,1491.64827000,70113557.30127480,0,2022-01-03 00:00:00
13,1641182400000,46793.27,47211.09,46750.0,47051.37,2838.97703,1641196799999,133281583.63547870,97987,1456.30976000,68365339.53230570,0,2022-01-03 04:00:00
14,1641196800000,47051.36,47431.67,46778.0,47378.0,4262.39073,1641211199999,200855946.95252730,137414,2110.71365000,99471931.02867580,0,2022-01-03 08:00:00
15,1641211200000,47378.0,47570.0,46575.25,46693.45,5463.72051,1641225599999,257099656.25556330,180099,2618.53427000,123242922.86654570,0,2022-01-03 12:00:00
16,1641225600000,46693.44,46790.0,46263.29,46360.01,5861.46189,1641239999999,272545582.20021830,179290,2932.69022000,136341606.93507490,0,2022-01-03 16:00:00
17,1641240000000,46360.01,46576.94,45696.0,46446.1,6241.20752,1641254399999,287671209.30187980,180850,2914.86428000,134344072.45040310,0,2022-01-03 20:00:00
18,1641254400000,46446.1,46549.19,45934.5,46313.97,3604.76267,1641268799999,166602519.76606240,130828,1827.13725000,84443334.36245980,0,2022-01-04 00:00:00
19,1641268800000,46313.96,46600.21,45996.26,46550.0,5734.35172,1641283199999,265234310.44324690,136897,3204.99970000,148164952.24503180,0,2022-01-04 04:00:00
20,1641283200000,46549.99,46772.41,46300.0,46733.77,4686.5322,1641297599999,218257618.26067340,142059,2249.00814000,104751556.71783770,0,2022-01-04 08:00:00
21,1641297600000,46733.78,47557.54,46410.0,46925.35,8065.90334,1641311999999,379900780.06150920,226932,3874.09938000,182399123.57650900,0,2022-01-04 12:00:00
22,1641312000000,46925.34,46984.99,45500.0,46052.36,9855.45649,1641326399999,455708222.07164150,251705,4787.81648000,221431092.89292520,0,2022-01-04 16:00:00
23,1641326400000,46052.35,46428.27,45760.05,45832.01,3544.40718,1641340799999,163466973.52448000,133394,1746.20713000,80535403.28604400,0,2022-01-04 20:00:00
24,1641340800000,45832.01,46549.0,45722.21,46422.55,3034.64069,1641355199999,140277234.82240530,115147,1563.87713000,72295154.71491130,0,2022-01-05 00:00:00
25,1641355200000,46422.56,46527.39,46246.01,46407.51,2185.03432,1641369599999,101325309.90262000,93500,1046.55767000,48536422.06077050,0,2022-01-05 04:00:00
26,1641369600000,46407.5,47070.0,46110.0,46270.99,5623.80527,1641383999999,262428290.31726130,161604,2730.56340000,127441429.22546610,0,2022-01-05 08:00:00
27,1641384000000,46271.0,46822.17,45803.67,46622.53,6056.26257,1641398399999,280740140.80624680,192464,2952.61800000,136917103.72249030,0,2022-01-05 12:00:00
28,1641398400000,46622.53,46674.37,44500.0,44685.93,13258.75934,1641412799999,604054562.47373580,339814,5634.73138000,256936443.35029550,0,2022-01-05 16:00:00
29,1641412800000,44685.93,44847.99,42500.0,43451.13,21625.61638,1641427199999,945463006.32317920,576003,9624.64702000,421160673.28320770,0,2022-01-05 20:00:00
30,1641427200000,43451.14,43816.0,42803.37,42835.0,7907.29623,1641441599999,343015551.76820140,214285,3746.68580000,162529116.28920210,0,2022-01-06 00:00:00
31,1641441600000,42835.0,43275.8,42600.05,43245.25,7148.39091,1641455999999,307375790.93489990,195164,3702.21287000,159210287.42469870,0,2022-01-06 04:00:00
32,1641456000000,43245.26,43273.87,42430.58,42878.34,7751.7942,1641470399999,332035730.82655840,230511,3672.95982000,157343899.87436420,0,2022-01-06 08:00:00
33,1641470400000,42878.33,43267.09,42632.44,42950.01,7414.23595,1641484799999,318391951.42751950,220623,3686.39602000,158296562.90272060,0,2022-01-06 12:00:00
34,1641484800000,42950.02,43508.78,42725.09,43438.1,5500.53168,1641499199999,237146984.76889110,172318,2934.10378000,126523327.46722180,0,2022-01-06 16:00:00
35,1641499200000,43438.11,43581.3,43007.81,43082.31,3158.12408,1641513599999,136500144.71226230,117806,1526.46833000,65983367.86793790,0,2022-01-06 20:00:00
36,1641513600000,43082.3,43145.83,41577.77,41803.11,9110.36283,1641527999999,385914470.76738920,241863,3977.32813000,168585121.02734470,0,2022-01-07 00:00:00
37,1641528000000,41803.11,41950.0,41000.0,41706.71,12822.5044,1641542399999,532626431.21476810,295716,6213.47615000,258165281.35271480,0,2022-01-07 04:00:00
38,1641542400000,41706.71,42883.47,41607.5,42258.62,7627.20984,1641556799999,322445548.97043430,210663,4063.31942000,171804552.21795140,0,2022-01-07 08:00:00
39,1641556800000,42258.62,42766.17,40610.0,41319.11,13946.04637,1641571199999,580820637.19617110,324864,6533.92295000,272419889.50829270,0,2022-01-07 12:00:00
40,1641571200000,41310.85,42315.85,40917.66,41775.38,7870.74271,1641585599999,327701900.56223990,213002,4149.49989000,172776625.04535290,0,2022-01-07 16:00:00
41,1641585600000,41775.38,42054.0,41336.82,41566.48,3459.64203,1641599999999,144342026.75423430,120527,1581.84607000,65988731.08706470,0,2022-01-07 20:00:00
42,1641600000000,41566.48,42246.37,41558.0,41810.91,3546.24518,1641614399999,148566376.96802140,119811,1816.77388000,76115830.34444040,0,2022-01-08 00:00:00
43,1641614400000,41810.92,41999.99,41739.0,41913.58,2135.49013,1641628799999,89458795.77047570,93017,1032.14440000,43237425.63205040,0,2022-01-08 04:00:00
44,1641628800000,41913.59,42200.0,41767.16,41940.22,3321.30192,1641643199999,139484709.84947490,121264,1634.95019000,68677796.24607650,0,2022-01-08 08:00:00
45,1641643200000,41940.22,42063.23,41400.0,41613.33,4171.17885,1641657599999,174184575.98535770,156317,1974.84322000,82470285.24491260,0,2022-01-08 12:00:00
46,1641657600000,41609.6,41740.53,40501.0,40831.07,12549.74604,1641671999999,514690369.84615330,322439,6190.64000000,253937728.06077710,0,2022-01-08 16:00:00
47,1641672000000,40831.06,42300.0,40720.0,41679.74,7228.76899,1641686399999,300848666.40828360,209060,3813.18578000,158716469.89327780,0,2022-01-08 20:00:00
48,1641686400000,41679.74,42170.11,41388.13,41833.89,4255.72958,1641700799999,177866585.39684250,130284,2153.45438000,89993806.99408240,0,2022-01-09 00:00:00
49,1641700800000,41833.9,42103.31,41681.17,41791.51,2460.7712,1641715199999,103089905.47843150,97104,1221.45889000,51176367.03099670,0,2022-01-09 04:00:00
50,1641715200000,41791.5,41990.0,41410.0,41857.62,3137.48125,1641729599999,130789996.36293770,114063,1550.87199000,64662656.76260050,0,2022-01-09 08:00:00
51,1641729600000,41857.62,41923.39,41200.02,41621.11,3367.82823,1641743999999,140098436.71063320,113984,1578.61869000,65661431.46010850,0,2022-01-09 12:00:00
52,1641744000000,41621.11,42740.0,41556.49,42695.26,5802.65087,1641758399999,244562146.31579800,174344,3041.96699000,128185858.98665130,0,2022-01-09 16:00:00
53,1641758400000,42695.27,42786.7,41766.43,41864.62,3699.93313,1641772799999,156422994.24794200,122954,1853.41885000,78366729.04271260,0,2022-01-09 20:00:00
54,1641772800000,41864.62,42037.05,41601.0,41967.59,3090.07632,1641787199999,129267559.95167120,107059,1491.20771000,62384030.79846190,0,2022-01-10 00:00:00
55,1641787200000,41967.59,42248.5,41811.7,42042.38,3216.0852,1641801599999,135215302.69749200,106073,1602.30707000,67368920.21251550,0,2022-01-10 04:00:00
56,1641801600000,42042.38,42116.61,41455.0,41565.34,4092.19411,1641815999999,170845851.03532310,149708,1959.50307000,81819325.46187390,0,2022-01-10 08:00:00
57,1641816000000,41565.33,41616.72,39650.0,40984.33,22660.39365,1641830399999,920148254.48043680,462593,10381.74740000,421995572.95113130,0,2022-01-10 12:00:00
58,1641830400000,40984.34,42121.63,40564.89,41297.15,13657.42788,1641844799999,565486370.60878060,301743,7155.29976000,296374978.33317060,0,2022-01-10 16:00:00
59,1641844800000,41297.15,41985.0,41158.99,41822.49,4012.99303,1641859199999,167148000.73189280,123807,2064.48310000,85992725.64561200,0,2022-01-10 20:00:00
60,1641859200000,41822.49,42400.01,41544.64,42277.98,4934.14719,1641873599999,207255878.55527000,135503,2592.72060000,108922996.94045760,0,2022-01-11 00:00:00
61,1641873600000,42277.99,42387.78,41971.37,42211.05,3883.13068,1641887999999,163744857.12570380,108831,1899.91293000,80117630.10936210,0,2022-01-11 04:00:00
62,1641888000000,42212.21,42627.66,41575.0,41809.99,6072.63206,1641902399999,255028833.28278390,169937,2984.58596000,125385191.36794280,0,2022-01-11 08:00:00
63,1641902400000,41809.99,42200.0,41268.93,41733.93,7345.13139,1641916799999,306485754.64205930,206712,3578.46980000,149368555.30148680,0,2022-01-11 12:00:00
64,1641916800000,41733.92,43100.0,41680.44,42972.05,11896.68845,1641931199999,506910616.13494930,281728,5892.90594000,251073162.71600330,0,2022-01-11 16:00:00
65,1641931200000,42972.04,43095.26,42597.41,42729.29,3164.70752,1641945599999,135377669.21931240,112815,1573.35868000,67308846.66584110,0,2022-01-11 20:00:00
66,1641945600000,42729.29,42965.0,42450.0,42605.02,3086.64021,1641959999999,131648726.26727590,110324,1540.92911000,65724954.23384960,0,2022-01-12 00:00:00
67,1641960000000,42605.01,42867.55,42463.13,42561.67,3336.77438,1641974399999,142255382.01407500,120164,1676.67716000,71482078.89081530,0,2022-01-12 04:00:00
68,1641974400000,42561.66,43443.6,42508.69,42935.92,6248.56105,1641988799999,268063653.43210170,184999,3299.43767000,141600271.40614630,0,2022-01-12 08:00:00
69,1641988800000,42935.92,44078.4,42874.01,43560.29,12273.47054,1642003199999,535080108.93611010,305929,6447.88033000,281129758.88015200,0,2022-01-12 12:00:00
70,1642003200000,43560.29,43886.26,43317.0,43743.11,4601.65301,1642017599999,200799701.63794050,160212,2269.90916000,99067942.98817380,0,2022-01-12 16:00:00
71,1642017600000,43743.1,44322.0,43629.39,43902.66,4396.19361,1642031999999,193058865.42456820,142274,2349.48542000,103200612.41642800,0,2022-01-12 20:00:00
72,1642032000000,43902.65,44075.42,43422.72,43509.93,3979.63723,1642046399999,173778104.41841290,139699,1788.63817000,78096049.32410930,0,2022-01-13 00:00:00
73,1642046400000,43505.99,43795.44,43483.2,43699.99,3331.80419,1642060799999,145503766.74697950,129068,1675.45934000,73166387.16563580,0,2022-01-13 04:00:00
74,1642060800000,43699.99,44014.51,43500.0,43602.31,4607.65385,1642075199999,201771071.10985580,159014,2301.95322000,100809647.26825670,0,2022-01-13 08:00:00
75,1642075200000,43603.58,44500.0,42871.01,43200.0,11551.88285,1642089599999,505285250.27745090,276967,5838.27455000,255559067.79393830,0,2022-01-13 12:00:00
76,1642089600000,43200.01,43500.0,42535.0,42700.67,6945.66481,1642103999999,298076181.92668710,195449,3408.10067000,146272452.94641890,0,2022-01-13 16:00:00
77,1642104000000,42700.67,42888.18,42311.22,42560.11,4494.23469,1642118399999,191530151.01610860,136037,2162.97992000,92171518.74575420,0,2022-01-13 20:00:00
78,1642118400000,42558.35,42784.0,42362.91,42623.87,4534.92179,1642132799999,193284016.69952490,127400,2205.43348000,93994961.43106790,0,2022-01-14 00:00:00
79,1642132800000,42623.87,42978.1,42599.99,42660.01,4015.82873,1642147199999,171777653.20345500,122506,1965.20644000,84071125.27173170,0,2022-01-14 04:00:00
80,1642147200000,42660.0,42688.84,41826.82,42012.94,7628.33288,1642161599999,322262071.06224270,205980,3244.77943000,137103955.00027170,0,2022-01-14 08:00:00
81,1642161600000,42012.94,43347.42,41725.95,43109.0,8997.40197,1642175999999,382918055.23552660,226486,4364.40583000,185768898.55114890,0,2022-01-14 12:00:00
82,1642176000000,43109.0,43408.0,42777.0,43077.93,4631.61759,1642190399999,199412072.43237250,149150,2263.84371000,97479458.14429220,0,2022-01-14 16:00:00
83,1642190400000,43077.93,43448.78,43000.0,43059.96,2832.77996,1642204799999,122346574.71704570,115416,1390.52056000,60053987.84473510,0,2022-01-14 20:00:00
84,1642204800000,43059.96,43174.0,42864.49,42927.96,2973.19446,1642219199999,127891009.30556280,108303,1402.01635000,60309079.58708520,0,2022-01-15 00:00:00
85,1642219200000,42927.95,43099.81,42712.94,43088.12,2860.77788,1642233599999,122813462.11213470,105670,1369.42646000,58794047.48752500,0,2022-01-15 04:00:00
