,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,0.079544,0.081477,0.07852,0.081069,134058.0761,1641254399999,10751.52702515,318532,63187.07900000,5065.75451141,0,2022-01-01
1,1641254400000,0.08107,0.08292,0.077653,0.079072,212375.5462,1641513599999,17160.09707755,515293,104510.78980000,8439.89924898,0,2022-01-04
2,1641513600000,0.079072,0.079192,0.07347,0.075293,228972.2019,1641772799999,17363.37976774,490834,105116.95060000,7970.52835260,0,2022-01-07
3,1641772800000,0.075287,0.077409,0.0729,0.076789,192125.6676,1642031999999,14416.23247125,392150,92320.18910000,6933.08644094,0,2022-01-10
4,1642032000000,0.076789,0.077774,0.075948,0.077209,128264.9766,1642291199999,9835.85366256,305989,62998.30560000,4831.03303716,0,2022-01-13
5,1642291200000,0.077204,0.078095,0.074436,0.074599,144653.7323,1642550399999,11030.60124352,351362,70770.92680000,5398.88633462,0,2022-01-16
6,1642550400000,0.074606,0.075437,0.068803,0.070444,247683.2073,1642809599999,18129.10376856,534598,111875.18690000,8209.13113818,0,2022-01-19
7,1642809600000,0.070449,0.07168,0.064675,0.066549,386564.2731,1643068799999,26415.20197110,772902,186130.55260000,12725.49408427,0,2022-01-22
8,1643068800000,0.066544,0.069943,0.064715,0.065228,277375.6396,1643327999999,18567.17732205,571637,134198.18090000,8981.64226706,0,2022-01-25
9,1643328000000,0.065245,0.06922,0.064465,0.068679,180184.6517,1643587199999,12090.46419273,414630,91101.89890000,6111.40621400,0,2022-01-28
10,1643587200000,0.068674,0.073281,0.06722,0.072611,213109.9471,1643846399999,15082.12096161,479053,108008.06920000,7643.87837063,0,2022-01-31
11,1643846400000,0.072626,0.075083,0.070839,0.072806,207279.5785,1644105599999,15091.36757663,500900,103061.16090000,7505.84799420,0,2022-02-03
12,1644105600000,0.072797,0.073041,0.070328,0.070769,151826.8624,1644364799999,10857.57093612,409922,74155.35880000,5303.13356279,0,2022-02-06
13,1644364800000,0.07077,0.073406,0.068359,0.069088,185735.9444,1644623999999,13276.40177840,465103,92068.60050000,6578.84560448,0,2022-02-09
14,1644624000000,0.069093,0.069888,0.067732,0.068873,118337.9536,1644883199999,8137.37915022,325070,58480.89820000,4022.42109682,0,2022-02-12
