,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1546300800000,0.035534,0.036125,0.035315,0.035972,44766.597,1546329599999,1600.91183533,35740,24660.80900000,882.38961480,0,2019-01-01 00:00:00
1,1546329600000,0.035974,0.036305,0.035915,0.03611,43315.546,1546358399999,1565.73046217,35328,23215.96700000,839.37580689,0,2019-01-01 08:00:00
2,1546358400000,0.036106,0.037532,0.035772,0.036629,80308.767,1546387199999,2951.89466354,57835,44381.70600000,1630.68693410,0,2019-01-01 16:00:00
3,1546387200000,0.036611,0.038163,0.036501,0.038058,63092.13,1546415999999,2349.82269448,45628,33527.42600000,1248.88218922,0,2019-01-02 00:00:00
4,1546416000000,0.038063,0.039809,0.038049,0.039087,172006.89,1546444799999,6695.75214964,97813,85726.57900000,3337.90382639,0,2019-01-02 08:00:00
5,1546444800000,0.039093,0.04005,0.038701,0.039404,112018.724,1546473599999,4411.96158940,72672,56854.80000000,2239.10907519,0,2019-01-02 16:00:00
6,1546473600000,0.039415,0.039949,0.038904,0.03963,88909.926,1546502399999,3513.12418443,61537,46992.46800000,1857.05047418,0,2019-01-03 00:00:00
7,1546502400000,0.039621,0.0397,0.038156,0.038822,107557.385,1546531199999,4178.02769734,68498,54958.49200000,2135.16553126,0,2019-01-03 08:00:00
8,1546531200000,0.038822,0.039279,0.038317,0.038846,88392.078,1546559999999,3421.55756973,57532,44264.71500000,1713.66088585,0,2019-01-03 16:00:00
9,1546560000000,0.038854,0.04085,0.038551,0.040346,107538.585,1546588799999,4291.42574838,73012,58772.52700000,2345.99549025,0,2019-01-04 00:00:00
10,1546588800000,0.04036,0.0406,0.03904,0.039484,109125.99,1546617599999,4343.55226222,74277,53778.88900000,2140.26041036,0,2019-01-04 08:00:00
11,1546617600000,0.039492,0.040498,0.039178,0.040093,88287.405,1546646399999,3517.22697951,66738,45356.76200000,1807.78400000,0,2019-01-04 16:00:00
12,1546646400000,0.0401,0.041752,0.040096,0.040485,137321.159,1546675199999,5650.15700154,90393,72233.15200000,2973.39734798,0,2019-01-05 00:00:00
13,1546675200000,0.040481,0.04121,0.040283,0.040739,89433.379,1546703999999,3648.42458853,67683,45681.44200000,1863.06166536,0,2019-01-05 08:00:00
14,1546704000000,0.04074,0.041051,0.0403,0.040533,85937.372,1546732799999,3498.58417891,64558,45841.17100000,1866.61713736,0,2019-01-05 16:00:00
15,1546732800000,0.040532,0.040721,0.03943,0.039798,78908.886,1546761599999,3153.39090954,60493,39366.98400000,1573.01289082,0,2019-01-06 00:00:00
16,1546761600000,0.039809,0.0402,0.039551,0.039649,81919.746,1546790399999,3263.85677874,57531,40067.70600000,1596.67026013,0,2019-01-06 08:00:00
17,1546790400000,0.039648,0.040169,0.038377,0.03857,127092.563,1546819199999,4951.09425142,91254,66290.49100000,2583.55090737,0,2019-01-06 16:00:00
18,1546819200000,0.03857,0.038791,0.0382,0.038385,62186.001,1546847999999,2388.74932603,54906,32176.13200000,1235.99201732,0,2019-01-07 00:00:00
