,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1577836800000,129.16,187.0,125.88,179.99,12817879.25715,1580515199999,2025639750.34710110,4986853,6405495.55523000,1011829803.82449880,0,2020-01-01
1,1580515200000,179.94,288.41,179.1,217.21,21153996.1458,1583020799999,5127525049.24233890,8343119,10471279.91192000,2537720362.18733730,0,2020-02-01
2,1583020800000,217.29,251.93,86.0,132.72,40100166.98948,1585699199999,5993132935.64847460,11872867,19856760.31755000,2966854092.44749000,0,2020-03-01
3,1585699200000,132.72,227.3,128.62,206.08,30622487.94288,1588291199999,5307426102.86373880,8245020,15121927.72139000,2621054220.21718160,0,2020-04-01
4,1588291200000,206.07,247.0,176.0,231.57,24717586.81853,1590969599999,5101265932.40613120,7525066,12228040.24655000,2524093681.14838300,0,2020-05-01
5,1590969600000,231.56,253.8,216.0,225.6,16073920.0773,1593561599999,3788746146.39326890,6067128,7954092.95613000,1875605595.02700070,0,2020-06-01
6,1593561600000,225.59,349.45,222.87,346.33,20935176.05306,1596239999999,5669453437.19607360,8244597,10536788.72164000,2857095420.12796610,0,2020-07-01
7,1596240000000,346.32,446.0,325.0,433.79,28769352.88701,1598918399999,11440961601.40521930,13062079,14301567.89792000,5687901832.21513200,0,2020-08-01
8,1598918400000,433.8,488.84,308.42,359.83,34431117.99327,1601510399999,12818279438.34963910,13888400,16992211.05619000,6327021596.76684760,0,2020-09-01
9,1601510400000,359.83,420.73,332.18,386.46,19292775.62694,1604188799999,7288866052.81980860,7532178,9532776.49543000,3601112202.89330050,0,2020-10-01
10,1604188800000,386.44,623.0,370.23,616.66,36426105.3325,1606780799999,17960338594.63861780,15988322,18225653.32873000,8988549241.88268590,0,2020-11-01
11,1606780800000,616.65,758.74,530.43,736.42,30451194.43342,1609459199999,19119402122.69964550,17502795,15123886.25054000,9504318147.69698980,0,2020-12-01
12,1609459200000,736.42,1475.0,714.29,1312.55,59589754.02553,1612137599999,70034202871.57323250,45090583,29846293.27355000,35100137009.47555880,0,2021-01-01
13,1612137600000,1312.45,2042.34,1269.99,1419.18,33561918.29258,1614556799999,55817045232.64154880,33602950,16669497.10336000,27740570099.42989050,0,2021-02-01
14,1614556800000,1418.67,1947.29,1409.91,1919.37,23574009.12632,1617235199999,40327646669.98728940,29821847,11792264.44750000,20170414412.59381150,0,2021-03-01
15,1617235200000,1919.37,2798.3,1885.02,2772.42,27220161.75533,1619827199999,62457317582.51435920,41979216,13601017.33935000,31232245929.04854240,0,2021-04-01
16,1619827200000,2772.42,4372.72,1728.74,2706.15,49340730.6802,1622505599999,148431166709.02884750,80643337,24438169.06769000,73604581156.16064980,0,2021-05-01
17,1622505600000,2706.15,2891.95,1700.48,2275.68,27539800.65398,1625097599999,64070561106.10275340,40015353,13590959.48356000,31623295754.26997220,0,2021-06-01
18,1625097600000,2275.68,2553.86,1706.0,2531.05,21263142.44244,1627775999999,45241249805.97527660,32344456,10606879.83962000,22598063922.51314430,0,2021-07-01
19,1627776000000,2531.1,3476.0,2442.32,3429.2,21436438.89134,1630454399999,65137614538.12717110,44661029,10663309.77774000,32419078274.22206740,0,2021-08-01
20,1630454400000,3429.19,4027.88,2652.0,3000.61,17261458.33691,1633046399999,57069495143.34356240,36104575,8531582.59739000,28231154154.65934860,0,2021-09-01
21,1633046400000,3000.62,4460.47,2969.07,4287.21,14410441.89498,1635724799999,54780341571.45924790,38987427,7247714.65205000,27570818516.80743710,0,2021-10-01
22,1635724800000,4287.48,4868.0,3913.0,4630.26,12756119.36968,1638316799999,56144336623.04866750,33620994,6373606.90306000,28069153168.37340940,0,2021-11-01
23,1638316800000,4630.25,4778.75,3503.68,3676.23,12944994.6731,1640995199999,52641748452.83222300,29074121,6355451.95590000,25861978308.57829300,0,2021-12-01
24,1640995200000,3676.22,3900.73,2159.0,2686.94,13966551.02275,1643673599999,40330248564.81455020,26825651,6954860.06454000,20071346586.90897550,0,2022-01-01
25,1643673600000,2686.94,3283.66,2300.0,2920.95,14131677.98022,1646092799999,39741573658.12823000,24102373,7133581.46832000,20075166722.37573300,0,2022-02-01
26,1646092800000,2920.83,3481.87,2445.0,3281.51,14266235.7133,1648771199999,40975119061.96776500,23092203,7191907.38100000,20669402947.89432300,0,2022-03-01
27,1648771200000,3281.51,3580.34,2709.26,2726.66,12949941.312,1651363199999,40225977473.93050400,19210267,6404406.22460000,19905080385.63680600,0,2022-04-01
28,1651363200000,2726.67,2965.85,1703.0,1941.9,24777431.00913,1654041599999,53776154046.38892520,30270877,12352121.93662000,26818855901.73399820,0,2022-05-01
29,1654041600000,1941.9,1972.58,881.56,1071.01,40584115.82385,1656633599999,52532363437.37287980,36383654,20098520.48919000,26010924038.58118740,0,2022-06-01
30,1656633600000,1071.02,1695.07,1006.32,1694.05,35371407.43611,1659311999999,46373500502.65439600,33287941,17819950.50441000,23378032247.65851000,0,2022-07-01
