,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1609459200000,736.42,739.0,729.33,731.6,17634.36317,1609460999999,12924608.17172160,13588,9486.92687000,6955613.76394120,0,2021-01-01 00:00:00
1,1609461000000,731.55,735.59,731.45,734.07,10298.33567,1609462799999,7555295.30431430,9083,5533.68976000,4060305.20827350,0,2021-01-01 00:30:00
2,1609462800000,734.08,743.78,733.37,742.2,24678.54339,1609464599999,18248122.50030480,20611,12745.12311000,9423602.80306330,0,2021-01-01 01:00:00
3,1609464600000,742.19,749.0,740.81,748.28,27657.6444,1609466399999,20651496.35270870,21101,14650.77959000,10938771.13043960,0,2021-01-01 01:30:00
4,1609466400000,748.27,749.0,743.57,744.96,16395.35693,1609468199999,12233954.96509250,10078,8542.82686000,6375196.06970940,0,2021-01-01 02:00:00
5,1609468200000,744.96,746.65,742.27,744.06,16624.14407,1609469999999,12372771.47327470,9488,9178.44010000,6831927.28237470,0,2021-01-01 02:30:00
6,1609470000000,744.06,745.8,743.1,745.2,9398.85779,1609471799999,6998481.19703620,6297,4872.60944000,3628513.70433840,0,2021-01-01 03:00:00
7,1609471800000,745.31,747.23,744.31,744.82,8205.9508,1609473599999,6120607.20337750,5933,4627.13976000,3451412.60653640,0,2021-01-01 03:30:00
8,1609473600000,744.87,747.09,743.79,745.42,8933.32444,1609475399999,6658948.06854230,6270,5120.19196000,3816476.26305040,0,2021-01-01 04:00:00
9,1609475400000,745.42,746.14,739.3,742.29,9860.8298,1609477199999,7321242.90292630,7356,5013.55015000,3723024.02382170,0,2021-01-01 04:30:00
10,1609477200000,742.34,743.23,739.62,741.39,8259.15972,1609478999999,6123366.74751500,5995,4142.92773000,3071550.92025800,0,2021-01-01 05:00:00
11,1609479000000,741.39,742.21,739.5,740.65,6689.10475,1609480799999,4955983.49151160,5037,3590.21389000,2659921.49553450,0,2021-01-01 05:30:00
12,1609480800000,740.72,743.25,737.32,737.61,9897.02504,1609482599999,7331638.70200960,6703,4283.25966000,3174216.45823450,0,2021-01-01 06:00:00
13,1609482600000,737.62,740.24,737.04,739.97,7209.96991,1609484399999,5326826.68789230,5338,3519.89251000,2600677.82355950,0,2021-01-01 06:30:00
14,1609484400000,739.87,740.51,734.4,735.88,14818.55279,1609486199999,10920276.27101300,11920,6857.93913000,5054854.04769420,0,2021-01-01 07:00:00
15,1609486200000,735.88,737.92,734.86,737.38,6806.13666,1609487999999,5014434.66590850,8056,3549.83399000,2615774.18203930,0,2021-01-01 07:30:00
16,1609488000000,737.37,738.48,725.1,730.27,33080.09828,1609489799999,24179105.99866840,23289,13071.51002000,9555489.11808470,0,2021-01-01 08:00:00
17,1609489800000,730.27,733.55,726.31,730.07,19911.95064,1609491599999,14534033.83657910,15144,10112.96713000,7381843.94988090,0,2021-01-01 08:30:00
18,1609491600000,730.07,734.23,728.77,733.3,13181.99594,1609493399999,9649598.51152490,14247,7561.59868000,5535984.23706250,0,2021-01-01 09:00:00
19,1609493400000,733.31,734.77,732.61,733.68,9654.47379,1609495199999,7082426.51417750,13100,4789.99701000,3514072.36140400,0,2021-01-01 09:30:00
20,1609495200000,733.69,737.26,733.27,735.32,13115.53152,1609496999999,9648187.26555810,8340,6972.79346000,5129250.10855010,0,2021-01-01 10:00:00
21,1609497000000,735.33,738.87,735.11,736.81,9780.06559,1609498799999,7206461.29961600,6977,5344.29529000,3937925.06158520,0,2021-01-01 10:30:00
22,1609498800000,736.82,740.98,736.11,740.6,15252.17469,1609500599999,11268231.56283890,8572,7529.71906000,5564391.88302310,0,2021-01-01 11:00:00
23,1609500600000,740.67,741.76,737.14,738.85,14131.92402,1609502399999,10446197.54907400,8248,6760.61592000,4998257.98305790,0,2021-01-01 11:30:00
24,1609502400000,738.85,740.95,734.62,740.37,18144.01014,1609504199999,13382849.35381530,10503,10003.50660000,7379997.67664900,0,2021-01-01 12:00:00
25,1609504200000,740.41,743.33,732.12,733.19,32046.46214,1609505999999,23669968.15049430,18488,16602.25247000,12268259.39556940,0,2021-01-01 12:30:00
26,1609506000000,733.19,738.0,733.0,737.99,11525.53425,1609507799999,8477993.86488850,8203,6757.68301000,4970851.97634110,0,2021-01-01 13:00:00
27,1609507800000,738.0,741.99,736.43,740.08,12018.02937,1609509599999,8886328.51060560,9131,7218.13155000,5336964.17463630,0,2021-01-01 13:30:00
28,1609509600000,740.08,742.67,737.17,739.87,12037.26835,1609511399999,8910508.53450460,8682,7119.03286000,5270683.90817370,0,2021-01-01 14:00:00
29,1609511400000,739.87,740.0,736.46,738.0,10061.1056,1609513199999,7426539.82334700,8393,5693.52321000,4202771.86757710,0,2021-01-01 14:30:00
