,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,3676.22,3705.9,3676.22,3697.71,4114.2969,1640996999999,15189720.78629300,9519,2123.64980000,7839488.32602200,0,2022-01-01 00:00:00
1,1640997000000,3697.71,3730.0,3694.47,3723.04,4909.0771,1640998799999,18240332.54939000,12183,2428.78650000,9025301.55076800,0,2022-01-01 00:30:00
2,1640998800000,3723.04,3748.45,3714.1,3737.77,5318.6353,1641000599999,19845722.00627400,13599,2452.07290000,9147745.51785500,0,2022-01-01 01:00:00
3,1641000600000,3737.77,3743.02,3722.23,3724.89,3679.1216,1641002399999,13726901.18418700,8067,1704.50210000,6360411.50657600,0,2022-01-01 01:30:00
4,1641002400000,3724.88,3738.47,3723.0,3729.16,2580.4294,1641004199999,9626018.36343700,7396,1233.00340000,4600061.18327000,0,2022-01-01 02:00:00
5,1641004200000,3729.16,3736.52,3722.23,3728.32,2448.0237,1641005999999,9131292.89210400,6490,991.36670000,3697702.35969200,0,2022-01-01 02:30:00
6,1641006000000,3728.41,3737.0,3721.84,3729.0,1863.1055,1641007799999,6947027.11363600,6189,897.12360000,3345183.47397700,0,2022-01-01 03:00:00
7,1641007800000,3729.01,3732.46,3722.83,3723.96,1680.0798,1641009599999,6264003.60690000,5286,860.08800000,3207262.63097200,0,2022-01-01 03:30:00
8,1641009600000,3723.96,3728.07,3710.88,3716.2,3603.4203,1641011399999,13394152.59360200,7396,1896.92820000,7049808.73338300,0,2022-01-01 04:00:00
9,1641011400000,3716.2,3722.31,3707.24,3708.21,2513.8617,1641013199999,9337929.08401200,6826,1411.16510000,5241859.49700900,0,2022-01-01 04:30:00
10,1641013200000,3708.2,3758.0,3702.84,3750.69,5929.8941,1641014999999,22127589.96884800,13514,3215.65640000,11991789.35392400,0,2022-01-01 05:00:00
11,1641015000000,3750.68,3765.27,3728.6,3735.61,3423.3115,1641016799999,12842182.66633200,10334,1870.84940000,7017180.10077400,0,2022-01-01 05:30:00
12,1641016800000,3735.6,3742.67,3726.0,3727.65,2674.4177,1641018599999,9983270.76997700,6367,1295.72910000,4837369.05402000,0,2022-01-01 06:00:00
13,1641018600000,3727.74,3731.32,3708.33,3711.92,2564.5849,1641020399999,9542088.47386000,7379,1230.08740000,4576771.57038000,0,2022-01-01 06:30:00
14,1641020400000,3711.93,3715.88,3701.0,3707.96,3287.8317,1641022199999,12193501.55568900,8714,1691.99050000,6274822.89220600,0,2022-01-01 07:00:00
15,1641022200000,3707.96,3724.93,3704.62,3715.31,3253.8182,1641023999999,12092536.46617300,9204,1739.66560000,6465290.83848300,0,2022-01-01 07:30:00
16,1641024000000,3715.32,3725.61,3708.6,3721.47,1838.2215,1641025799999,6832872.88202400,6699,1011.41710000,3759626.38453900,0,2022-01-01 08:00:00
17,1641025800000,3721.86,3733.84,3715.96,3721.4,2175.4188,1641027599999,8101420.10389300,7157,1083.95900000,4036703.29303000,0,2022-01-01 08:30:00
18,1641027600000,3721.14,3730.0,3716.06,3722.51,2651.1819,1641029399999,9875106.78621200,7437,1228.04820000,4574259.60399700,0,2022-01-01 09:00:00
19,1641029400000,3722.52,3726.91,3709.38,3718.67,1864.4817,1641031199999,6928018.98833500,6831,983.96110000,3655490.69080800,0,2022-01-01 09:30:00
20,1641031200000,3718.67,3731.88,3688.18,3691.22,4760.0218,1641032999999,17661381.70803200,11998,2264.61970000,8407184.53339000,0,2022-01-01 10:00:00
21,1641033000000,3691.22,3707.86,3673.46,3691.39,5652.4519,1641034799999,20849087.19378000,15899,2685.20800000,9906480.16082400,0,2022-01-01 10:30:00
22,1641034800000,3691.39,3712.19,3691.02,3707.32,2337.3855,1641036599999,8655033.18921100,7802,1210.08680000,4481178.68881600,0,2022-01-01 11:00:00
23,1641036600000,3707.32,3709.92,3692.72,3693.37,2448.8318,1641038399999,9064659.96087600,7906,1226.64670000,4540965.52922600,0,2022-01-01 11:30:00
24,1641038400000,3693.38,3708.87,3693.37,3700.76,2824.3764,1641040199999,10457239.99719100,7868,1352.30030000,5007405.19273100,0,2022-01-01 12:00:00
25,1641040200000,3700.75,3718.24,3700.75,3716.28,3771.1766,1641041999999,13993104.32244900,7933,1930.15810000,7161787.06785600,0,2022-01-01 12:30:00
26,1641042000000,3716.28,3724.93,3709.42,3714.34,3680.6436,1641043799999,13683765.23698600,8076,1416.02660000,5263303.79392400,0,2022-01-01 13:00:00
27,1641043800000,3714.33,3721.0,3706.32,3710.03,2034.9536,1641045599999,7555977.44125600,6262,1045.72910000,3883103.18519200,0,2022-01-01 13:30:00
28,1641045600000,3710.04,3713.68,3704.78,3710.15,2632.0055,1641047399999,9761327.15678300,6269,1359.73440000,5042532.85267700,0,2022-01-01 14:00:00
29,1641047400000,3710.27,3711.84,3691.88,3697.61,2733.4419,1641049199999,10118898.06814100,7571,1170.71750000,4334239.28588300,0,2022-01-01 14:30:00
30,1641049200000,3697.04,3713.71,3693.22,3713.41,2141.3963,1641050999999,7933966.64477600,6241,1086.85010000,4027576.62254900,0,2022-01-01 15:00:00
31,1641051000000,3713.17,3745.36,3712.09,3725.3,7238.8125,1641052799999,27016994.83920700,14925,3768.63510000,14065030.47329900,0,2022-01-01 15:30:00
32,1641052800000,3725.29,3749.98,3718.71,3744.3,3033.0266,1641054599999,11330353.35797600,8796,1665.16380000,6220193.26159800,0,2022-01-01 16:00:00
33,1641054600000,3744.3,3747.35,3725.16,3727.62,3752.1205,1641056399999,14015117.53793600,8315,2132.88770000,7965871.41097600,0,2022-01-01 16:30:00
34,1641056400000,3727.61,3737.01,3727.24,3735.31,2367.5211,1641058199999,8835426.62057100,7247,1448.60850000,5406378.15840900,0,2022-01-01 17:00:00
35,1641058200000,3735.3,3764.98,3735.0,3760.77,6559.3308,1641059999999,24629792.12346300,14998,3125.70060000,11737082.01351100,0,2022-01-01 17:30:00
36,1641060000000,3760.76,3766.0,3745.0,3749.05,2786.8782,1641061799999,10459315.88938600,7795,1472.25920000,5525725.88632700,0,2022-01-01 18:00:00
37,1641061800000,3749.06,3756.99,3740.0,3752.58,3878.4799,1641063599999,14535784.74565900,8384,1969.14060000,7379046.70163100,0,2022-01-01 18:30:00
38,1641063600000,3752.58,3757.86,3736.31,3744.38,2539.6481,1641065399999,9518503.21629900,7681,1289.39700000,4832914.34502800,0,2022-01-01 19:00:00
39,1641065400000,3744.37,3749.36,3736.0,3747.61,2333.4147,1641067199999,8728755.69525200,6927,1109.81870000,4150989.01020100,0,2022-01-01 19:30:00
40,1641067200000,3747.6,3752.63,3740.35,3752.0,2197.5668,1641068999999,8234440.32661100,6722,909.05830000,3406313.06951500,0,2022-01-01 20:00:00
41,1641069000000,3752.0,3776.45,3750.87,3761.02,4290.1907,1641070799999,16154040.48160700,12113,1955.87610000,7363959.89459700,0,2022-01-01 20:30:00
42,1641070800000,3761.02,3776.0,3760.21,3762.48,3654.3492,1641072599999,13770149.55477800,8087,1652.54670000,6227593.73543400,0,2022-01-01 21:00:00
43,1641072600000,3762.48,3767.39,3745.91,3748.65,3544.6028,1641074399999,13321690.98285800,8232,1583.34110000,5951004.13975900,0,2022-01-01 21:30:00
44,1641074400000,3748.66,3755.96,3740.0,3754.56,2277.728,1641076199999,8531990.40747600,7386,1359.96760000,5094037.13310100,0,2022-01-01 22:00:00
45,1641076200000,3754.57,3764.15,3752.33,3757.89,1352.3588,1641077999999,5083919.36529300,5995,800.89370000,3010561.93672700,0,2022-01-01 22:30:00
46,1641078000000,3757.89,3758.81,3745.0,3755.46,2171.5078,1641079799999,8145901.47153200,6849,1107.89140000,4155806.27570200,0,2022-01-01 23:00:00
47,1641079800000,3755.08,3774.9,3750.12,3765.54,2776.4621,1641081599999,10450022.07618100,7802,1488.66630000,5603020.66835600,0,2022-01-01 23:30:00
48,1641081600000,3765.54,3770.0,3750.2,3763.18,2821.4235,1641083399999,10610461.95705700,8305,1297.09890000,4878566.57647100,0,2022-01-02 00:00:00
49,1641083400000,3763.17,3771.0,3758.67,3761.58,3469.2376,1641085199999,13063164.44049700,7969,1578.57140000,5943688.28976500,0,2022-01-02 00:30:00
50,1641085200000,3761.57,3763.66,3749.15,3753.84,2279.6367,1641086999999,8559082.06327700,6026,1217.69010000,4571054.29940100,0,2022-01-02 01:00:00
51,1641087000000,3753.84,3756.8,3742.34,3747.0,1839.2564,1641088799999,6891969.53458700,5628,798.42480000,2991872.35959100,0,2022-01-02 01:30:00
52,1641088800000,3747.0,3753.36,3741.8,3743.29,2066.9114,1641090599999,7749487.92403400,6063,994.98370000,3730496.87014000,0,2022-01-02 02:00:00
53,1641090600000,3743.29,3753.25,3742.01,3746.5,1922.1952,1641092399999,7202145.66005900,5614,786.42050000,2946523.43858400,0,2022-01-02 02:30:00
54,1641092400000,3746.5,3754.0,3743.0,3753.73,1796.3089,1641094199999,6734703.22584100,5204,970.09380000,3637276.82323500,0,2022-01-02 03:00:00
55,1641094200000,3753.48,3760.87,3746.23,3758.55,2188.5614,1641095999999,8215762.60376200,6766,958.58640000,3598588.07808800,0,2022-01-02 03:30:00
56,1641096000000,3758.13,3761.92,3749.08,3751.51,1925.8805,1641097799999,7234254.24807700,7716,984.88660000,3699108.71740000,0,2022-01-02 04:00:00
57,1641097800000,3751.51,3757.66,3717.3,3724.34,5476.1493,1641099599999,20438787.93529900,13448,2672.86950000,9971897.57306900,0,2022-01-02 04:30:00
58,1641099600000,3724.34,3733.3,3720.17,3730.12,2289.566,1641101399999,8538454.88061800,7587,1102.63190000,4112182.83582300,0,2022-01-02 05:00:00
59,1641101400000,3730.35,3745.74,3729.18,3744.69,2335.7805,1641103199999,8729611.49234600,7285,1279.51140000,4781539.08843400,0,2022-01-02 05:30:00
60,1641103200000,3744.69,3749.77,3740.65,3742.19,1823.0958,1641104999999,6825259.02654500,6438,765.89290000,2867305.73056600,0,2022-01-02 06:00:00
61,1641105000000,3742.2,3749.98,3737.55,3738.52,1952.5719,1641106799999,7308323.24094200,5926,963.88110000,3607960.84124800,0,2022-01-02 06:30:00
62,1641106800000,3738.52,3744.6,3734.2,3742.27,1498.3652,1641108599999,5604208.79287800,5749,708.42600000,2649765.68691300,0,2022-01-02 07:00:00
63,1641108600000,3742.27,3751.93,3737.8,3747.22,1964.4588,1641110399999,7357360.83468700,6281,915.16940000,3427491.57418300,0,2022-01-02 07:30:00
64,1641110400000,3747.22,3748.64,3732.39,3741.05,2536.0791,1641112199999,9484587.90638800,7266,1470.91270000,5501077.82000500,0,2022-01-02 08:00:00
65,1641112200000,3741.05,3746.0,3735.67,3744.0,1675.9001,1641113999999,6270494.85018200,6653,871.37590000,3260171.80363500,0,2022-01-02 08:30:00
66,1641114000000,3744.0,3770.0,3738.17,3756.12,3517.6282,1641115799999,13209826.41200700,10585,2020.88540000,7588233.50513200,0,2022-01-02 09:00:00
67,1641115800000,3756.12,3762.99,3751.59,3753.48,2167.2246,1641117599999,8143936.75513100,6509,1138.53160000,4278110.59423800,0,2022-01-02 09:30:00
