,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,0.000557,0.000557,0.000555,0.000557,299.68,1640996999999,0.16686440,22,267.54000000,0.14899474,0,2022-01-01 00:00:00
1,1640997000000,0.000557,0.000557,0.000555,0.000557,876.14,1640998799999,0.48758499,44,465.74000000,0.25941718,0,2022-01-01 00:30:00
2,1640998800000,0.000558,0.000558,0.000556,0.000557,777.57,1641000599999,0.43299849,25,364.39000000,0.20297732,0,2022-01-01 01:00:00
3,1641000600000,0.000558,0.000558,0.000556,0.000557,797.15,1641002399999,0.44415016,32,419.48000000,0.23378845,0,2022-01-01 01:30:00
4,1641002400000,0.000557,0.000558,0.000557,0.000558,651.8,1641004199999,0.36334711,34,624.74000000,0.34827469,0,2022-01-01 02:00:00
5,1641004200000,0.000558,0.000559,0.000557,0.000558,420.66,1641005999999,0.23471916,27,242.12000000,0.13510514,0,2022-01-01 02:30:00
6,1641006000000,0.000558,0.000559,0.000557,0.000557,268.5,1641007799999,0.14962821,20,71.49000000,0.03989276,0,2022-01-01 03:00:00
7,1641007800000,0.000557,0.000557,0.000556,0.000557,20.26,1641009599999,0.01126946,6,1.80000000,0.00100260,0,2022-01-01 03:30:00
8,1641009600000,0.000556,0.000557,0.000556,0.000557,1271.81,1641011399999,0.70808562,36,296.84000000,0.16514750,0,2022-01-01 04:00:00
9,1641011400000,0.000557,0.000557,0.000555,0.000555,241.58,1641013199999,0.13443742,19,138.59000000,0.07717549,0,2022-01-01 04:30:00
10,1641013200000,0.000556,0.000556,0.000553,0.000554,175.86,1641014999999,0.09744076,29,45.58000000,0.02527132,0,2022-01-01 05:00:00
11,1641015000000,0.000554,0.000556,0.000554,0.000556,281.61,1641016799999,0.15641350,23,235.38000000,0.13073989,0,2022-01-01 05:30:00
12,1641016800000,0.000556,0.000556,0.000555,0.000556,14.35,1641018599999,0.00797443,7,10.18000000,0.00566008,0,2022-01-01 06:00:00
13,1641018600000,0.000555,0.000555,0.000554,0.000554,108.24,1641020399999,0.06007283,10,2.80000000,0.00155400,0,2022-01-01 06:30:00
14,1641020400000,0.000554,0.000555,0.000554,0.000555,285.43,1641022199999,0.15814289,10,14.67000000,0.00814185,0,2022-01-01 07:00:00
15,1641022200000,0.000555,0.000556,0.000555,0.000556,840.18,1641023999999,0.46703281,33,823.54000000,0.45778926,0,2022-01-01 07:30:00
16,1641024000000,0.000555,0.000556,0.000555,0.000556,173.39,1641025799999,0.09639266,11,134.46000000,0.07475976,0,2022-01-01 08:00:00
17,1641025800000,0.000556,0.000556,0.000555,0.000556,231.95,1641027599999,0.12894545,18,175.24000000,0.09743344,0,2022-01-01 08:30:00
18,1641027600000,0.000556,0.000557,0.000556,0.000557,206.11,1641029399999,0.11479722,15,200.06000000,0.11143342,0,2022-01-01 09:00:00
19,1641029400000,0.000556,0.000556,0.000553,0.000554,575.47,1641031199999,0.31953536,20,2.57000000,0.00142378,0,2022-01-01 09:30:00
20,1641031200000,0.000553,0.000554,0.000553,0.000553,120.82,1641032999999,0.06681848,16,30.04000000,0.01661714,0,2022-01-01 10:00:00
