,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1546473600000,0.01515,0.015327,0.014004,0.014463,67514.87,1546732799999,988.64570639,4911,34271.66000000,501.85648465,0,2019-01-03
1,1546732800000,0.014431,0.015427,0.014349,0.015178,76295.26,1546991999999,1141.13900613,5230,40350.94000000,604.29130897,0,2019-01-06
2,1546992000000,0.015211,0.017535,0.015143,0.01696,253532.73,1547251199999,4196.25216814,11582,136810.00000000,2276.54550270,0,2019-01-09
3,1547251200000,0.016832,0.019612,0.016367,0.016981,214269.68,1547510399999,3795.83795325,11156,104883.23000000,1856.82725700,0,2019-01-12
4,1547510400000,0.016919,0.01762,0.016366,0.017229,96593.27,1547769599999,1655.54307743,3972,50066.74000000,859.96285778,0,2019-01-15
5,1547769600000,0.017277,0.017499,0.016948,0.017229,76131.63,1548028799999,1314.64303499,2781,39459.21000000,682.89810778,0,2019-01-18
6,1548028800000,0.017229,0.017789,0.017197,0.017428,74718.96,1548287999999,1304.16741428,3427,34765.27000000,607.21437260,0,2019-01-21
7,1548288000000,0.017455,0.017931,0.017428,0.017781,67044.34,1548547199999,1187.02716947,2413,36705.22000000,650.63270534,0,2019-01-24
8,1548547200000,0.017839,0.018019,0.017024,0.017562,104783.02,1548806399999,1836.82068701,4795,40220.63000000,707.39868563,0,2019-01-27
9,1548806400000,0.017589,0.017629,0.016888,0.017185,68064.05,1549065599999,1177.41169258,3205,29387.22000000,508.64985771,0,2019-01-30
10,1549065600000,0.017168,0.017349,0.016479,0.016898,39682.1,1549324799999,672.73276557,2348,15072.55000000,256.35002766,0,2019-02-02
11,1549324800000,0.016858,0.017323,0.016414,0.016933,64411.18,1549583999999,1083.08151910,2656,26053.57000000,439.76155450,0,2019-02-05
12,1549584000000,0.016895,0.017373,0.015554,0.015659,82834.83,1549843199999,1360.40015225,3876,40504.01000000,666.27226715,0,2019-02-08
13,1549843200000,0.015657,0.016037,0.015578,0.015706,51920.01,1550102399999,819.87320025,2637,19077.20000000,301.48457736,0,2019-02-11
14,1550102400000,0.015718,0.016288,0.01542,0.015797,67715.23,1550361599999,1066.17981129,2918,31801.78000000,501.71294163,0,2019-02-14
15,1550361600000,0.015805,0.015843,0.014128,0.014721,137258.01,1550620799999,2037.11334947,5851,49525.75000000,734.03254113,0,2019-02-17
16,1550620800000,0.014691,0.014742,0.014159,0.014418,44622.56,1550879999999,644.97458323,2341,18933.33000000,274.35894504,0,2019-02-20
17,1550880000000,0.014369,0.015932,0.014287,0.015128,197724.03,1551139199999,2965.97923013,9501,90792.58000000,1364.37158115,0,2019-02-23
18,1551139200000,0.015128,0.0158,0.014876,0.015339,65771.98,1551398399999,999.20373372,3198,35231.13000000,536.23732001,0,2019-02-26
19,1551398400000,0.015274,0.0161,0.015266,0.01561,49367.24,1551657599999,772.36119361,2636,22948.87000000,359.68551474,0,2019-03-01
20,1551657600000,0.01567,0.015884,0.014824,0.014924,62592.17,1551916799999,956.13361929,2997,27278.66000000,417.89656517,0,2019-03-04
21,1551916800000,0.014925,0.016532,0.014861,0.016047,93508.21,1552175999999,1461.62922291,5819,41771.58000000,653.41344596,0,2019-03-07
22,1552176000000,0.016045,0.016328,0.015277,0.01608,69982.59,1552435199999,1107.13919902,3852,29826.22000000,472.82731924,0,2019-03-10
23,1552435200000,0.016099,0.02466,0.0157,0.018608,604745.6,1552694399999,12049.38680573,25034,258721.79000000,5128.79103320,0,2019-03-13
24,1552694400000,0.018608,0.0193,0.017335,0.01785,123708.76,1552953599999,2231.15500078,5605,43450.22000000,786.72705223,0,2019-03-16
25,1552953600000,0.017861,0.01898,0.0176,0.018247,89899.33,1553212799999,1631.22114405,4282,38130.74000000,693.58321801,0,2019-03-19
26,1553212800000,0.018311,0.019736,0.018053,0.019107,96136.62,1553471999999,1823.66638085,4538,41414.10000000,787.66236603,0,2019-03-22
27,1553472000000,0.01905,0.01905,0.017875,0.018541,102926.38,1553731199999,1899.64093972,3892,47730.37000000,881.37172932,0,2019-03-25
28,1553731200000,0.018591,0.021661,0.018377,0.019605,114882.47,1553990399999,2209.00494944,6459,53151.25000000,1024.05032965,0,2019-03-28
29,1553990400000,0.019582,0.022063,0.019496,0.02,165321.16,1554249599999,3433.68814015,11511,68924.40000000,1435.57575033,0,2019-03-31
30,1554249600000,0.02,0.020941,0.019336,0.020406,258191.15,1554508799999,5200.90625871,12866,149032.98000000,3015.18699222,0,2019-04-03
31,1554508800000,0.020406,0.022096,0.0186,0.019278,156185.31,1554767999999,3148.64395415,10731,77941.60000000,1580.02027053,0,2019-04-06
32,1554768000000,0.01928,0.019383,0.017525,0.017812,127089.64,1555027199999,2342.38615513,6547,53613.90000000,994.47058965,0,2019-04-09
33,1555027200000,0.017798,0.018257,0.017371,0.01755,176389.69,1555286399999,3132.48950426,5643,124796.70000000,2216.23172728,0,2019-04-12
34,1555286400000,0.017549,0.017961,0.016923,0.01708,71499.4,1555545599999,1241.50567143,3728,28867.24000000,501.70461658,0,2019-04-15
35,1555545600000,0.01708,0.01725,0.016447,0.016457,88575.61,1555804799999,1488.73227888,3732,44042.47000000,741.28801775,0,2019-04-18
36,1555804800000,0.016502,0.016613,0.015579,0.015617,86170.92,1556063999999,1379.42257497,4135,33094.69000000,529.95825583,0,2019-04-21
37,1556064000000,0.015592,0.015768,0.01465,0.015113,121732.6,1556323199999,1843.03456727,5872,53860.85000000,817.11099249,0,2019-04-24
