,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,170.01,179.2,169.93,179.06,634599.39,1641081599999,110585214.91650000,179793,328250.16000000,57202310.01530000,0,2022-01-01
1,1641081600000,179.06,179.53,174.31,176.35,620087.38,1641167999999,109509310.71340000,176256,313106.42000000,55294227.83680000,0,2022-01-02
2,1641168000000,176.34,176.49,166.59,170.15,1031316.43,1641254399999,177240351.97020000,250131,537423.71000000,92331450.11780000,0,2022-01-03
3,1641254400000,170.14,173.93,166.47,167.72,1041332.63,1641340799999,176538222.72980000,264666,507127.47000000,86029904.46010000,0,2022-01-04
4,1641340800000,167.74,171.32,144.92,154.52,1659848.17,1641427199999,266979906.63840000,460130,775826.33000000,125014421.95460000,0,2022-01-05
5,1641427200000,154.48,154.8,145.98,150.26,1575071.3,1641513599999,236312050.38370000,400706,783017.39000000,117506026.09910000,0,2022-01-06
6,1641513600000,150.28,150.72,133.08,136.45,2719397.3,1641599999999,380212392.35150000,624203,1356742.09000000,189682437.97840000,0,2022-01-07
7,1641600000000,136.43,148.11,133.0,142.14,2695415.51,1641686399999,380841698.63520000,596637,1333341.19000000,188360420.16050000,0,2022-01-08
8,1641686400000,142.1,145.71,137.83,140.82,1435153.15,1641772799999,203808588.25020000,314235,708108.49000000,100610867.79930000,0,2022-01-09
9,1641772800000,140.82,143.86,130.0,135.86,1894512.51,1641859199999,257484771.76580000,419461,941801.48000000,127988772.74650000,0,2022-01-10
10,1641859200000,135.84,143.5,133.58,140.2,1328579.57,1641945599999,184178762.88540000,294874,655238.34000000,90779635.50150000,0,2022-01-11
11,1641945600000,140.19,153.39,138.22,151.51,1946788.76,1642031999999,284704608.14150000,453450,1014395.70000000,148380253.91050000,0,2022-01-12
12,1642032000000,151.5,157.8,145.41,146.14,1984121.59,1642118399999,300358586.19740000,471549,1004170.43000000,151995901.26560000,0,2022-01-13
13,1642118400000,146.13,150.56,141.84,146.17,1428145.3,1642204799999,209190212.32340000,339770,702561.97000000,102878722.29010000,0,2022-01-14
14,1642204800000,146.18,149.49,143.9,147.64,865014.75,1642291199999,126821898.96230000,205770,422395.84000000,61920893.60360000,0,2022-01-15
15,1642291200000,147.61,151.96,146.09,147.98,964270.14,1642377599999,143408413.91330000,236998,475923.20000000,70802594.79260000,0,2022-01-16
16,1642377600000,147.98,148.29,137.02,139.8,1297654.14,1642463999999,184551841.50540000,283258,619994.54000000,88125965.51980000,0,2022-01-17
17,1642464000000,139.81,142.77,134.39,141.22,1254337.17,1642550399999,173470525.68410000,264708,612173.99000000,84700670.18250000,0,2022-01-18
18,1642550400000,141.32,142.7,132.77,135.25,1175171.39,1642636799999,160857229.20320000,264765,579951.57000000,79386769.61740000,0,2022-01-19
19,1642636800000,135.23,143.83,126.01,127.54,1464593.98,1642723199999,200702305.01300000,345417,731310.23000000,100360744.25440000,0,2022-01-20
20,1642723200000,127.54,128.73,106.11,112.27,4523020.69,1642809599999,544063534.41050000,939567,2184275.76000000,262870033.23350000,0,2022-01-21
21,1642809600000,112.24,114.89,87.73,94.54,6455608.98,1642895999999,635108263.42860000,1002353,3143606.01000000,308952787.29150000,0,2022-01-22
22,1642896000000,94.57,104.82,93.25,99.78,3561751.04,1642982399999,351997642.88360000,592647,1815827.00000000,179513410.61140000,0,2022-01-23
23,1642982400000,99.74,99.83,80.83,91.93,6990036.71,1643068799999,615205074.60800000,1012868,3409943.38000000,299702337.35510000,0,2022-01-24
24,1643068800000,91.94,99.95,87.41,94.67,3482711.32,1643155199999,324014683.73600000,566575,1745302.72000000,162439606.67280000,0,2022-01-25
25,1643155200000,94.65,104.43,89.19,92.12,4501340.69,1643241599999,434996978.69070000,713943,2255753.00000000,217969271.56690000,0,2022-01-26
26,1643241600000,92.11,94.6,85.71,89.51,3530017.76,1643327999999,317470432.09290000,538274,1835683.58000000,165086278.14460000,0,2022-01-27
27,1643328000000,89.51,93.55,87.21,91.34,2647317.17,1643414399999,240233251.68560000,388770,1362062.51000000,123682706.75540000,0,2022-01-28
28,1643414400000,91.35,98.93,90.5,96.13,2050891.76,1643500799999,194994553.82940000,331238,1077225.35000000,102415973.06330000,0,2022-01-29
29,1643500800000,96.15,97.6,91.38,93.29,1258037.51,1643587199999,118979094.23970000,221424,617532.34000000,58405719.68440000,0,2022-01-30
30,1643587200000,93.26,101.4,89.18,99.49,2414101.55,1643673599999,229303857.83700000,373958,1257071.83000000,119365613.78570000,0,2022-01-31
31,1643673600000,99.5,113.66,99.02,110.02,4190507.65,1643759999999,451677238.58920000,732735,2181320.44000000,235027830.30060000,0,2022-02-01
32,1643760000000,109.99,112.35,96.99,101.88,4863358.1,1643846399999,514972931.54110000,757019,2472488.32000000,261826718.25030000,0,2022-02-02
