,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1640995200000,170.01,171.39,169.93,171.14,18264.82,1640996999999,3119123.19540000,3860,10060.47000000,1717897.52450000,0,2022-01-01 00:00:00
1,1640997000000,171.18,172.57,171.05,172.38,18617.49,1640998799999,3201586.86050000,4729,10262.98000000,1764341.28770000,0,2022-01-01 00:30:00
2,1640998800000,172.37,174.3,171.77,173.73,24968.45,1641000599999,4328337.63070000,8200,14878.98000000,2579290.07280000,0,2022-01-01 01:00:00
3,1641000600000,173.74,174.28,172.17,172.73,25776.81,1641002399999,4462095.87120000,5220,9977.64000000,1728370.29930000,0,2022-01-01 01:30:00
4,1641002400000,172.73,173.22,172.57,172.96,8957.91,1641004199999,1548874.32600000,2298,5100.69000000,881845.02790000,0,2022-01-01 02:00:00
5,1641004200000,172.96,173.02,172.55,172.75,8052.35,1641005999999,1391089.48410000,1973,3711.48000000,641247.31110000,0,2022-01-01 02:30:00
6,1641006000000,172.76,172.85,172.5,172.65,9150.99,1641007799999,1580167.18880000,1923,5470.56000000,944659.02170000,0,2022-01-01 03:00:00
7,1641007800000,172.64,173.14,172.62,172.94,9834.23,1641009599999,1700509.46100000,1995,6380.90000000,1103301.31260000,0,2022-01-01 03:30:00
8,1641009600000,172.97,173.1,172.05,172.1,10775.65,1641011399999,1857957.41400000,2430,5601.42000000,965715.53450000,0,2022-01-01 04:00:00
9,1641011400000,172.08,172.16,171.49,171.49,11118.47,1641013199999,1910354.60200000,2671,5334.10000000,916496.04750000,0,2022-01-01 04:30:00
10,1641013200000,171.49,173.82,171.24,173.71,15366.34,1641014999999,2648984.19410000,4346,9180.08000000,1582929.17540000,0,2022-01-01 05:00:00
11,1641015000000,173.67,174.36,172.84,173.26,13494.15,1641016799999,2342676.07940000,4191,6945.93000000,1205739.57530000,0,2022-01-01 05:30:00
12,1641016800000,173.25,173.81,172.47,172.61,16990.42,1641018599999,2941248.31830000,3461,9304.37000000,1611378.89300000,0,2022-01-01 06:00:00
13,1641018600000,172.57,173.08,172.29,172.45,13714.25,1641020399999,2368346.67550000,3146,6979.41000000,1205216.26030000,0,2022-01-01 06:30:00
14,1641020400000,172.44,172.74,172.09,172.4,7702.92,1641022199999,1327839.00920000,2221,3609.34000000,622252.82420000,0,2022-01-01 07:00:00
15,1641022200000,172.4,173.41,172.3,173.11,7707.42,1641023999999,1333319.26840000,2761,4073.49000000,704751.33870000,0,2022-01-01 07:30:00
16,1641024000000,173.11,173.3,172.8,173.18,9264.99,1641025799999,1603244.22000000,2296,5448.41000000,942667.97190000,0,2022-01-01 08:00:00
17,1641025800000,173.1,173.26,172.7,172.86,7677.15,1641027599999,1327905.76000000,2317,4088.80000000,707242.66990000,0,2022-01-01 08:30:00
18,1641027600000,172.86,173.3,172.58,172.75,7734.04,1641029399999,1337207.51870000,2361,4104.48000000,709678.86590000,0,2022-01-01 09:00:00
19,1641029400000,172.81,172.98,172.17,172.73,6154.04,1641031199999,1061776.65310000,2196,3226.30000000,556620.49970000,0,2022-01-01 09:30:00
20,1641031200000,172.72,173.4,171.73,171.95,10467.06,1641032999999,1806496.60970000,3554,4902.17000000,846418.89880000,0,2022-01-01 10:00:00
21,1641033000000,171.95,172.52,170.8,171.93,16782.1,1641034799999,2881077.12420000,5146,8454.36000000,1452302.51010000,0,2022-01-01 10:30:00
22,1641034800000,171.92,172.67,171.88,172.2,4419.4,1641036599999,761586.19960000,1796,2256.26000000,388814.03790000,0,2022-01-01 11:00:00
23,1641036600000,172.16,172.28,171.53,171.53,7232.81,1641038399999,1243723.81490000,2177,4072.08000000,700232.81070000,0,2022-01-01 11:30:00
24,1641038400000,171.56,172.3,171.45,171.96,6214.0,1641040199999,1068396.70690000,2077,2625.18000000,451450.32540000,0,2022-01-01 12:00:00
25,1641040200000,171.97,172.93,171.91,172.72,9555.02,1641041999999,1650023.72550000,2507,4930.20000000,851292.34590000,0,2022-01-01 12:30:00
26,1641042000000,172.73,173.13,172.5,172.75,7172.43,1641043799999,1239651.37160000,2281,3632.59000000,627813.03480000,0,2022-01-01 13:00:00
27,1641043800000,172.76,173.08,172.41,172.67,8650.17,1641045599999,1494673.84810000,2051,3897.78000000,673756.03290000,0,2022-01-01 13:30:00
28,1641045600000,172.67,172.98,172.47,172.66,6880.5,1641047399999,1188220.33970000,2290,3179.17000000,549035.03120000,0,2022-01-01 14:00:00
29,1641047400000,172.66,172.75,172.03,172.53,8456.88,1641049199999,1457924.58230000,2316,3739.57000000,644685.13360000,0,2022-01-01 14:30:00
30,1641049200000,172.53,173.44,172.32,173.44,10095.75,1641050999999,1745245.33950000,2752,5212.37000000,901115.39740000,0,2022-01-01 15:00:00
31,1641051000000,173.44,174.24,173.0,173.84,20596.13,1641052799999,3577223.73530000,5401,10463.45000000,1818150.07670000,0,2022-01-01 15:30:00
32,1641052800000,173.84,174.55,173.57,174.47,12495.49,1641054599999,2175562.95010000,3778,5846.35000000,1017912.65690000,0,2022-01-01 16:00:00
33,1641054600000,174.48,174.9,173.58,173.64,20864.7,1641056399999,3638337.85770000,5431,12020.56000000,2096605.86930000,0,2022-01-01 16:30:00
34,1641056400000,173.64,174.42,173.58,174.23,10241.09,1641058199999,1781530.39820000,2935,4282.11000000,744927.28760000,0,2022-01-01 17:00:00
35,1641058200000,174.22,175.49,174.21,175.0,19721.58,1641059999999,3452808.92400000,6086,10724.81000000,1877517.53710000,0,2022-01-01 17:30:00
36,1641060000000,175.04,175.4,174.79,175.16,10884.06,1641061799999,1905677.42980000,3442,5626.94000000,985357.37310000,0,2022-01-01 18:00:00
