,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1609459200000,0.025464,0.025479,0.025325,0.025368,5339.999,1609460999999,135.69231116,3723,2145.31800000,54.51322200,0,2021-01-01 00:00:00
1,1609461000000,0.025373,0.025388,0.025307,0.025318,5384.969,1609462799999,136.52171864,2958,2333.64400000,59.18007966,0,2021-01-01 00:30:00
2,1609462800000,0.025317,0.025345,0.02523,0.025256,10751.602,1609464599999,272.09035907,5950,6881.08400000,174.19437291,0,2021-01-01 01:00:00
3,1609464600000,0.025258,0.025526,0.025246,0.025441,7532.354,1609466399999,191.47804118,4426,3888.17100000,98.82875644,0,2021-01-01 01:30:00
4,1609466400000,0.025441,0.025476,0.02537,0.025429,4138.64,1609468199999,105.22528414,2651,1958.19300000,49.78824762,0,2021-01-01 02:00:00
5,1609468200000,0.025423,0.025551,0.025402,0.025485,7015.042,1609469999999,178.60953144,3849,4111.61100000,104.70092864,0,2021-01-01 02:30:00
6,1609470000000,0.02549,0.025517,0.025414,0.025509,3168.895,1609471799999,80.69890531,1998,1490.20800000,37.95719599,0,2021-01-01 03:00:00
7,1609471800000,0.025509,0.025512,0.025399,0.025441,3819.049,1609473599999,97.29606989,1789,1658.06300000,42.25116706,0,2021-01-01 03:30:00
8,1609473600000,0.025442,0.025456,0.025358,0.025409,3819.837,1609475399999,97.04286062,2101,1729.12100000,43.93325873,0,2021-01-01 04:00:00
9,1609475400000,0.025413,0.025458,0.025379,0.025405,3104.67,1609477199999,78.91772665,2189,1503.60000000,38.22111922,0,2021-01-01 04:30:00
10,1609477200000,0.025406,0.025498,0.025399,0.02542,3272.796,1609478999999,83.26214944,1994,1301.87400000,33.11725673,0,2021-01-01 05:00:00
11,1609479000000,0.025423,0.025428,0.025376,0.025382,2636.772,1609480799999,66.97396225,1557,1270.39900000,32.27083478,0,2021-01-01 05:30:00
12,1609480800000,0.02538,0.025419,0.025307,0.025346,3671.291,1609482599999,93.17234018,2093,1663.20400000,42.21285399,0,2021-01-01 06:00:00
13,1609482600000,0.025349,0.025384,0.025305,0.025364,2768.448,1609484399999,70.15400115,1753,1318.57000000,33.41421222,0,2021-01-01 06:30:00
14,1609484400000,0.025364,0.025477,0.02534,0.025357,4102.646,1609486199999,104.24172806,2939,1966.76300000,49.98360248,0,2021-01-01 07:00:00
15,1609486200000,0.025357,0.025387,0.02532,0.025341,2617.734,1609487999999,66.35951167,1865,1294.76600000,32.82504000,0,2021-01-01 07:30:00
16,1609488000000,0.025344,0.025356,0.0251,0.025149,6781.372,1609489799999,171.06606247,5544,3028.48400000,76.40984655,0,2021-01-01 08:00:00
17,1609489800000,0.025153,0.025206,0.025076,0.025174,7339.373,1609491599999,184.57241261,4207,3449.48100000,86.75048178,0,2021-01-01 08:30:00
