,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trade,TBB,TBQ,ignore,date
0,1514764800000,0.016318,0.016318,0.016241,0.016258,4291.34,1514766599999,69.83857865,1453,2020.81000000,32.89993303,0,2018-01-01 00:00:00
1,1514766600000,0.016251,0.016311,0.016219,0.0163,5777.88,1514768399999,93.91081743,1722,2883.15000000,46.87247218,0,2018-01-01 00:30:00
2,1514768400000,0.016298,0.016313,0.0162,0.016201,4154.0,1514770199999,67.51556648,1579,2320.44000000,37.73050135,0,2018-01-01 01:00:00
3,1514770200000,0.016201,0.016248,0.016023,0.016148,4454.31,1514771999999,71.99734635,1623,2030.46000000,32.83914827,0,2018-01-01 01:30:00
4,1514772000000,0.016152,0.016207,0.0161,0.016166,4645.77,1514773799999,75.09093067,1428,2511.84000000,40.61850664,0,2018-01-01 02:00:00
5,1514773800000,0.016166,0.01624,0.016125,0.016201,4594.29,1514775599999,74.30115550,1489,2508.99000000,40.58125458,0,2018-01-01 02:30:00
6,1514775600000,0.0162,0.016243,0.016096,0.016215,5594.3,1514777399999,90.64966951,1510,2775.42000000,44.99556586,0,2018-01-01 03:00:00
7,1514777400000,0.016182,0.016313,0.016176,0.016244,4449.67,1514779199999,72.23244152,1570,2550.29000000,41.41749345,0,2018-01-01 03:30:00
8,1514779200000,0.016264,0.01656,0.01624,0.016548,5377.07,1514780999999,88.12149368,1880,3180.00000000,52.12706413,0,2018-01-01 04:00:00
9,1514781000000,0.016491,0.0166,0.016477,0.016487,4182.69,1514782799999,69.15487104,1322,2116.24000000,35.01116522,0,2018-01-01 04:30:00
10,1514782800000,0.016487,0.016557,0.016426,0.01647,4603.25,1514784599999,75.86415746,1365,2168.39000000,35.76362911,0,2018-01-01 05:00:00
11,1514784600000,0.01647,0.016616,0.01647,0.016566,4875.86,1514786399999,80.72681010,1159,2075.09000000,34.35833819,0,2018-01-01 05:30:00
12,1514786400000,0.016565,0.01682,0.016525,0.0168,5979.43,1514788199999,99.95786432,1760,3772.90000000,63.07663044,0,2018-01-01 06:00:00
13,1514788200000,0.016797,0.016844,0.016615,0.016646,5175.1,1514789999999,86.75118686,1799,2291.07000000,38.42651226,0,2018-01-01 06:30:00
14,1514790000000,0.016647,0.016712,0.016601,0.016639,4217.1,1514791799999,70.21218924,1197,2149.43000000,35.79162811,0,2018-01-01 07:00:00
